context,rep,method,step,donor,recipient,donor_initial_correct,donor_current_correct,help,harm,scale_fixed,scale_harmed,relation
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,1,7c510956809977a550837006a464fd91,e1ebf2222c9950fbf5375e54a65729f2,0.0,0.0,0,0,0,1,context
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,1,7c510956809977a550837006a464fd91,200c49c9af38ccc05eb04a1b4f96e34c,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,1,7c510956809977a550837006a464fd91,218914f020d11b337a73438eac532cd0,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,1,7c510956809977a550837006a464fd91,80d7a9cd564cbd87a5bd261b263ab09f,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,1,7c510956809977a550837006a464fd91,a1b54eff7de3dc7bfab148325c7a940b,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,2,200c49c9af38ccc05eb04a1b4f96e34c,218914f020d11b337a73438eac532cd0,0.0,0.0,0,0,0,0,evidence
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,2,200c49c9af38ccc05eb04a1b4f96e34c,80d7a9cd564cbd87a5bd261b263ab09f,0.0,0.0,0,0,0,0,evidence
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,2,200c49c9af38ccc05eb04a1b4f96e34c,e1ebf2222c9950fbf5375e54a65729f2,0.0,0.0,1,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,0,memory,2,200c49c9af38ccc05eb04a1b4f96e34c,a1b54eff7de3dc7bfab148325c7a940b,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,0,source_rule,2,200c49c9af38ccc05eb04a1b4f96e34c,80d7a9cd564cbd87a5bd261b263ab09f,0.0,0.0,0,0,0,0,lexical
dc9d58a4e24a74d52f719372c1a16e7f,0,fixed_audit,2,200c49c9af38ccc05eb04a1b4f96e34c,80d7a9cd564cbd87a5bd261b263ab09f,0.0,0.0,0,0,0,0,lexical
dc9d58a4e24a74d52f719372c1a16e7f,0,adaptive,2,200c49c9af38ccc05eb04a1b4f96e34c,80d7a9cd564cbd87a5bd261b263ab09f,0.0,0.0,0,0,0,0,lexical
dc9d58a4e24a74d52f719372c1a16e7f,0,reattempt,2,200c49c9af38ccc05eb04a1b4f96e34c,80d7a9cd564cbd87a5bd261b263ab09f,0.0,0.0,0,0,0,0,lexical
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,1,200c49c9af38ccc05eb04a1b4f96e34c,80d7a9cd564cbd87a5bd261b263ab09f,0.0,0.0,0,0,0,0,lexical
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,1,200c49c9af38ccc05eb04a1b4f96e34c,218914f020d11b337a73438eac532cd0,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,1,200c49c9af38ccc05eb04a1b4f96e34c,a1b54eff7de3dc7bfab148325c7a940b,0.0,0.0,0,1,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,1,200c49c9af38ccc05eb04a1b4f96e34c,e1ebf2222c9950fbf5375e54a65729f2,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,1,200c49c9af38ccc05eb04a1b4f96e34c,7c510956809977a550837006a464fd91,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,2,80d7a9cd564cbd87a5bd261b263ab09f,e1ebf2222c9950fbf5375e54a65729f2,0.0,0.0,0,0,0,0,evidence
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,2,80d7a9cd564cbd87a5bd261b263ab09f,7c510956809977a550837006a464fd91,0.0,0.0,0,0,0,0,evidence
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,2,80d7a9cd564cbd87a5bd261b263ab09f,218914f020d11b337a73438eac532cd0,0.0,0.0,0,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,1,memory,2,80d7a9cd564cbd87a5bd261b263ab09f,a1b54eff7de3dc7bfab148325c7a940b,0.0,0.0,1,0,0,0,context
dc9d58a4e24a74d52f719372c1a16e7f,1,source_rule,1,200c49c9af38ccc05eb04a1b4f96e34c,80d7a9cd564cbd87a5bd261b263ab09f,0.0,0.0,0,0,0,0,lexical
