method,preparations,dialogues,tasks,loss,project_correct,correct,incorrect,unfinished,questions,repeated_questions,incorrect_scope_transfers,failed_calls
completion,96,48,192.0,77.0,22.0,118.0,1.0,73.0,192.0,0.0,0.0,0.0
depth2,96,48,192.0,63.0,39.0,135.0,2.0,55.0,177.0,0.0,0.0,0.0
depth3,96,48,192.0,63.0,39.0,135.0,2.0,55.0,177.0,0.0,0.0,0.0
full_history,96,48,192.0,82.0,45.0,140.0,10.0,42.0,3.0,0.0,0.0,0.0
generic2,96,48,192.0,63.0,39.0,135.0,2.0,55.0,177.0,0.0,0.0,0.0
ideal_depth2,96,48,192.0,0.0,96.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0
minimum_completion,96,48,192.0,62.0,44.0,139.0,3.0,50.0,135.0,0.0,0.0,0.0
no_scope,96,48,192.0,63.0,39.0,135.0,2.0,55.0,177.0,0.0,0.0,0.0
one_step,96,48,192.0,86.0,37.0,112.0,2.0,78.0,132.0,0.0,0.0,0.0
request_specific,96,48,192.0,63.0,39.0,135.0,2.0,55.0,177.0,0.0,0.0,0.0
semantic_memory,96,48,192.0,72.0,41.0,129.0,3.0,60.0,160.0,0.0,0.0,0.0
