method,budget,error_weight,metric,mean,lo,hi,dialogues
completion,0.0,2.0,loss,1.6041666666666667,1.4375,1.7604166666666667,48
completion,0.0,2.0,project_correct,0.041666666666666664,0.0,0.10416666666666667,48
completion,0.0,2.0,correct,0.4375,0.3020833333333333,0.59375,48
completion,0.0,2.0,incorrect,0.041666666666666664,0.0,0.09375,48
completion,0.0,2.0,unfinished,1.5208333333333333,1.3645833333333333,1.6666666666666667,48
completion,0.0,2.0,questions,0.0,0.0,0.0,48
completion,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
completion,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
completion,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
completion,0.0,2.0,scope_questions,0.0,0.0,0.0,48
completion,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
completion,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
depth2,0.0,2.0,loss,1.6041666666666667,1.4375,1.7604166666666667,48
depth2,0.0,2.0,project_correct,0.041666666666666664,0.0,0.10416666666666667,48
depth2,0.0,2.0,correct,0.4375,0.3020833333333333,0.59375,48
depth2,0.0,2.0,incorrect,0.041666666666666664,0.0,0.09375,48
depth2,0.0,2.0,unfinished,1.5208333333333333,1.3645833333333333,1.6666666666666667,48
depth2,0.0,2.0,questions,0.0,0.0,0.0,48
depth2,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
depth2,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
depth2,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
depth2,0.0,2.0,scope_questions,0.0,0.0,0.0,48
depth2,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
depth2,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
depth3,0.0,2.0,loss,1.6041666666666667,1.4375,1.7604166666666667,48
depth3,0.0,2.0,project_correct,0.041666666666666664,0.0,0.10416666666666667,48
depth3,0.0,2.0,correct,0.4375,0.3020833333333333,0.59375,48
depth3,0.0,2.0,incorrect,0.041666666666666664,0.0,0.09375,48
depth3,0.0,2.0,unfinished,1.5208333333333333,1.3645833333333333,1.6666666666666667,48
depth3,0.0,2.0,questions,0.0,0.0,0.0,48
depth3,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
depth3,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
depth3,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
depth3,0.0,2.0,scope_questions,0.0,0.0,0.0,48
depth3,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
depth3,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
full_history,0.0,2.0,loss,0.3229166666666667,0.14583333333333334,0.5210937499999986,48
full_history,0.0,2.0,project_correct,0.8229166666666666,0.71875,0.9166666666666666,48
full_history,0.0,2.0,correct,1.8229166666666667,1.71875,1.9166666666666667,48
full_history,0.0,2.0,incorrect,0.14583333333333334,0.0625,0.25,48
full_history,0.0,2.0,unfinished,0.03125,0.0,0.08333333333333333,48
full_history,0.0,2.0,questions,0.0,0.0,0.0,48
full_history,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
full_history,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
full_history,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
full_history,0.0,2.0,scope_questions,0.0,0.0,0.0,48
full_history,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
full_history,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
generic2,0.0,2.0,loss,1.6041666666666667,1.4375,1.7604166666666667,48
generic2,0.0,2.0,project_correct,0.041666666666666664,0.0,0.10416666666666667,48
generic2,0.0,2.0,correct,0.4375,0.3020833333333333,0.59375,48
generic2,0.0,2.0,incorrect,0.041666666666666664,0.0,0.09375,48
generic2,0.0,2.0,unfinished,1.5208333333333333,1.3645833333333333,1.6666666666666667,48
generic2,0.0,2.0,questions,0.0,0.0,0.0,48
generic2,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
generic2,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
generic2,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
generic2,0.0,2.0,scope_questions,0.0,0.0,0.0,48
generic2,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
generic2,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,loss,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,project_correct,1.0,1.0,1.0,48
ideal_depth2,0.0,2.0,correct,2.0,2.0,2.0,48
ideal_depth2,0.0,2.0,incorrect,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,unfinished,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,questions,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,scope_questions,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
ideal_depth2,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
no_scope,0.0,2.0,loss,1.6041666666666667,1.4375,1.7604166666666667,48
no_scope,0.0,2.0,project_correct,0.041666666666666664,0.0,0.10416666666666667,48
no_scope,0.0,2.0,correct,0.4375,0.3020833333333333,0.59375,48
no_scope,0.0,2.0,incorrect,0.041666666666666664,0.0,0.09375,48
no_scope,0.0,2.0,unfinished,1.5208333333333333,1.3645833333333333,1.6666666666666667,48
no_scope,0.0,2.0,questions,0.0,0.0,0.0,48
no_scope,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
no_scope,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
no_scope,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
no_scope,0.0,2.0,scope_questions,0.0,0.0,0.0,48
no_scope,0.0,2.0,predicted_benefit,0.0,0.0,0.0,48
no_scope,0.0,2.0,realized_benefit,0.0,0.0,0.0,48
one_step,0.0,2.0,loss,1.6041666666666667,1.4375,1.7604166666666667,48
one_step,0.0,2.0,project_correct,0.041666666666666664,0.0,0.10416666666666667,48
one_step,0.0,2.0,correct,0.4375,0.3020833333333333,0.59375,48
one_step,0.0,2.0,incorrect,0.041666666666666664,0.0,0.09375,48
one_step,0.0,2.0,unfinished,1.5208333333333333,1.3645833333333333,1.6666666666666667,48
one_step,0.0,2.0,questions,0.0,0.0,0.0,48
one_step,0.0,2.0,repeated_questions,0.0,0.0,0.0,48
one_step,0.0,2.0,incorrect_scope_transfers,0.0,0.0,0.0,48
one_step,0.0,2.0,unresolved_responses,0.0,0.0,0.0,48
