MUL0051.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0051.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0055.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0055.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0065.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0065.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0106.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0106.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0128.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0128.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0135.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0135.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0142.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0142.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0154.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0154.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0177.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0177.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0178.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0178.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0182.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0182.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0187.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0187.json 1 [('ok', True), ('ok', True), ('ok', True)]
