MUL0099.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0099.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0810.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0810.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0814.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0814.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0821.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0821.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0822.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0822.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0838.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0838.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0841.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0841.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0842.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0842.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0845.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0845.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0869.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0869.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0881.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0881.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0890.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0890.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0896.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0896.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0912.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0912.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0937.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0937.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0939.json 0 [('ok', True), ('ok', True), ('ok', True)]
MUL0939.json 1 [('ok', True), ('ok', True), ('ok', True)]
MUL0941.json 0 [('ok', True), ('ok', True), ('ok', True)]
