id,family,seed,method,budget,episode_seconds,planning_seconds,planning_calls,max_nodes
independent_5000,independent,5000,no_review,0,0.00011783698573708534,0,0,0
independent_5000,independent,5000,no_review,1,9.154097642749548e-05,0,0,0
independent_5000,independent,5000,no_review,2,8.674908895045519e-05,0,0,0
independent_5000,independent,5000,no_review,4,8.669495582580566e-05,0,0,0
independent_5000,independent,5000,no_review,6,8.134101517498493e-05,0,0,0
independent_5000,independent,5000,no_review,unlimited,8.380296640098095e-05,0,0,0
independent_5000,independent,5000,memory,0,9.860703721642494e-05,0,0,0
independent_5000,independent,5000,memory,1,0.00010502198711037636,0,0,0
independent_5000,independent,5000,memory,2,0.00010200391989201307,0,0,0
independent_5000,independent,5000,memory,4,0.00010112603195011616,0,0,0
independent_5000,independent,5000,memory,6,0.00010133103933185339,0,0,0
independent_5000,independent,5000,memory,unlimited,0.00010117096826434135,0,0,0
independent_5000,independent,5000,uncertainty,0,9.36740543693304e-05,0,0,0
independent_5000,independent,5000,uncertainty,1,0.00022530602291226387,0,0,0
independent_5000,independent,5000,uncertainty,2,0.00023844896350055933,0,0,0
independent_5000,independent,5000,uncertainty,4,0.00033284793607890606,0,0,0
independent_5000,independent,5000,uncertainty,6,0.0003158960025757551,0,0,0
independent_5000,independent,5000,uncertainty,unlimited,0.00031087594106793404,0,0,0
independent_5000,independent,5000,depth1,0,0.00011220504529774189,2.0792940631508827e-05,1,1
independent_5000,independent,5000,depth1,1,0.00039309903513640165,0.00025542406365275383,2,9
independent_5000,independent,5000,depth1,2,0.0006646410329267383,0.00048444594722241163,3,9
independent_5000,independent,5000,depth1,4,0.0009794000070542097,0.0007246459135785699,5,9
independent_5000,independent,5000,depth1,6,0.0010019009932875633,0.0007124458206817508,5,9
independent_5000,independent,5000,depth1,unlimited,0.0009275060147047043,0.0006719031371176243,5,9
independent_5000,independent,5000,completion,0,9.945302736014128e-05,0,0,0
independent_5000,independent,5000,completion,1,0.00019340403378009796,0,0,0
independent_5000,independent,5000,completion,2,0.000275431084446609,0,0,0
independent_5000,independent,5000,completion,4,0.00043750694021582603,0,0,0
independent_5000,independent,5000,completion,6,0.00048418203368782997,0,0,0
independent_5000,independent,5000,completion,unlimited,0.0004305680049583316,0,0,0
independent_5000,independent,5000,depth2,0,0.0001025680685415864,1.1262018233537674e-05,1,1
independent_5000,independent,5000,depth2,1,0.0004007779061794281,0.0002577159320935607,2,9
independent_5000,independent,5000,depth2,2,0.001484601991251111,0.001287133083678782,3,33
independent_5000,independent,5000,depth2,4,0.0023098799865692854,0.002032083924859762,5,33
independent_5000,independent,5000,depth2,6,0.0027575750136747956,0.0018364451825618744,5,33
independent_5000,independent,5000,depth2,unlimited,0.0021367850713431835,0.0018785172142088413,5,33
independent_5000,independent,5000,depth3,0,0.00010059599298983812,8.42695590108633e-06,1,1
independent_5000,independent,5000,depth3,1,0.0003788189496845007,0.0002449809107929468,2,9
independent_5000,independent,5000,depth3,2,0.001382041024044156,0.0011993699008598924,3,33
independent_5000,independent,5000,depth3,4,0.0037846899358555675,0.0035021300427615643,5,65
independent_5000,independent,5000,depth3,6,0.003772999974898994,0.0034944561775773764,5,65
independent_5000,independent,5000,depth3,unlimited,0.00432785099837929,0.004060343955643475,5,65
independent_5000,independent,5000,generic2,0,0.00010113697499036789,8.212984539568424e-06,1,1
independent_5000,independent,5000,generic2,1,0.00037663395050913095,0.00024376995861530304,2,9
independent_5000,independent,5000,generic2,2,0.0013784499606117606,0.001201256993226707,3,33
independent_5000,independent,5000,generic2,4,0.0022802139865234494,0.0019869909156113863,5,33
independent_5000,independent,5000,generic2,6,0.0022562689846381545,0.0019851360702887177,5,33
independent_5000,independent,5000,generic2,unlimited,0.0021570419194176793,0.0018909710925072432,5,33
independent_5000,independent,5000,no_scope,0,0.00010487192776054144,8.399016223847866e-06,1,1
independent_5000,independent,5000,no_scope,1,0.0005800509825348854,0.00038331502582877874,2,9
independent_5000,independent,5000,no_scope,2,0.0017586650792509317,0.0015553508419543505,3,33
independent_5000,independent,5000,no_scope,4,0.0031659529777243733,0.0028990599093958735,5,33
independent_5000,independent,5000,no_scope,6,0.0020796069875359535,0.001826167805120349,5,33
independent_5000,independent,5000,no_scope,unlimited,0.0021609290270134807,0.0019006828079000115,5,33
independent_5000,independent,5000,request_specific,0,0.00010327401105314493,8.795061148703098e-06,1,1
independent_5000,independent,5000,request_specific,1,0.000382106052711606,0.00024269893765449524,2,9
independent_5000,independent,5000,request_specific,2,0.0014440970262512565,0.0012585220392793417,3,33
independent_5000,independent,5000,request_specific,4,0.002122926991432905,0.0018565028440207243,5,33
independent_5000,independent,5000,request_specific,6,0.002315529971383512,0.00204096594825387,5,33
independent_5000,independent,5000,request_specific,unlimited,0.002244801027700305,0.001964216004125774,5,33
independent_5001,independent,5001,no_review,0,0.00011084799189120531,0,0,0
independent_5001,independent,5001,no_review,1,8.868193253874779e-05,0,0,0
independent_5001,independent,5001,no_review,2,8.418504148721695e-05,0,0,0
independent_5001,independent,5001,no_review,4,8.422299288213253e-05,0,0,0
independent_5001,independent,5001,no_review,6,8.379097562283278e-05,0,0,0
independent_5001,independent,5001,no_review,unlimited,8.428096771240234e-05,0,0,0
independent_5001,independent,5001,memory,0,9.521108586341143e-05,0,0,0
independent_5001,independent,5001,memory,1,0.00010452105198055506,0,0,0
independent_5001,independent,5001,memory,2,0.00011333799920976162,0,0,0
independent_5001,independent,5001,memory,4,0.00010313699021935463,0,0,0
independent_5001,independent,5001,memory,6,0.00012173410505056381,0,0,0
independent_5001,independent,5001,memory,unlimited,0.00010404200293123722,0,0,0
independent_5001,independent,5001,uncertainty,0,9.234005119651556e-05,0,0,0
independent_5001,independent,5001,uncertainty,1,0.0001881869975477457,0,0,0
independent_5001,independent,5001,uncertainty,2,0.00023078499361872673,0,0,0
independent_5001,independent,5001,uncertainty,4,0.0003576570888981223,0,0,0
independent_5001,independent,5001,uncertainty,6,0.00031101307831704617,0,0,0
independent_5001,independent,5001,uncertainty,unlimited,0.00030854600481688976,0,0,0
independent_5001,independent,5001,depth1,0,0.00010699697304517031,1.2925942428410053e-05,1,1
independent_5001,independent,5001,depth1,1,0.00037661101669073105,0.00023824605159461498,2,9
independent_5001,independent,5001,depth1,2,0.0006638439372181892,0.0004807841032743454,3,9
independent_5001,independent,5001,depth1,4,0.0008656920399516821,0.0006168108666315675,5,9
independent_5001,independent,5001,depth1,6,0.0009656239999458194,0.0007164540002122521,5,9
independent_5001,independent,5001,depth1,unlimited,0.0009323160629719496,0.0006576009327545762,5,9
independent_5001,independent,5001,completion,0,0.00018203502986580133,0,0,0
independent_5001,independent,5001,completion,1,0.00018942798487842083,0,0,0
independent_5001,independent,5001,completion,2,0.0002655650023370981,0,0,0
independent_5001,independent,5001,completion,4,0.000415062066167593,0,0,0
independent_5001,independent,5001,completion,6,0.00041725998744368553,0,0,0
independent_5001,independent,5001,completion,unlimited,0.00049397605471313,0,0,0
independent_5001,independent,5001,depth2,0,0.00016810698434710503,2.3467931896448135e-05,1,1
independent_5001,independent,5001,depth2,1,0.0005974899977445602,0.0004152971087023616,2,9
independent_5001,independent,5001,depth2,2,0.002806400996632874,0.0025686488952487707,3,33
independent_5001,independent,5001,depth2,4,0.00224669196177274,0.001978987827897072,5,33
independent_5001,independent,5001,depth2,6,0.002186730969697237,0.0019058820325881243,5,33
independent_5001,independent,5001,depth2,unlimited,0.0022028200328350067,0.0018592980923131108,5,33
independent_5001,independent,5001,depth3,0,0.00010781502351164818,8.600996807217598e-06,1,1
independent_5001,independent,5001,depth3,1,0.0004657789831981063,0.0003235408803448081,2,9
independent_5001,independent,5001,depth3,2,0.0013968859566375613,0.0012114811688661575,3,33
independent_5001,independent,5001,depth3,4,0.003679269924759865,0.003412471036426723,5,65
independent_5001,independent,5001,depth3,6,0.005028376006521285,0.004729278152808547,5,65
independent_5001,independent,5001,depth3,unlimited,0.0038260630099102855,0.0035195599775761366,5,65
independent_5001,independent,5001,generic2,0,0.00010723306331783533,8.110073395073414e-06,1,1
independent_5001,independent,5001,generic2,1,0.00038503704126924276,0.00024565192870795727,2,9
