id,family,seed,method,budget,tasks,project_correct,correct,incorrect,unfinished,loss,questions,distinct_questions,repeated_questions,incorrect_scope_transfers,unresolved_responses,scope_questions,initial_predicted_loss,final_predicted_loss,predicted_benefit,realized_benefit,planning_nodes,planning_caps
independent_5000,independent,5000,no_review,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,no_review,1,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,no_review,2,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,no_review,4,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,no_review,6,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,no_review,unlimited,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,memory,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,memory,1,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,memory,2,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,memory,4,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,memory,6,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,memory,unlimited,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,uncertainty,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,uncertainty,1,4,0,2,0,2,2.0,1,1,0,0,0,0,3.4,2.4,1.0,1.0,0,0
independent_5000,independent,5000,uncertainty,2,4,0,3,0,1,1.0,2,2,0,0,0,0,3.4,1.4,2.0,2.0,0,0
independent_5000,independent,5000,uncertainty,4,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,0,0
independent_5000,independent,5000,uncertainty,6,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,0,0
independent_5000,independent,5000,uncertainty,unlimited,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,0,0
independent_5000,independent,5000,depth1,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,1,0
independent_5000,independent,5000,depth1,1,4,0,2,0,2,2.0,1,1,0,0,0,0,3.4,2.4,1.0,1.0,10,0
independent_5000,independent,5000,depth1,2,4,0,3,0,1,1.0,2,2,0,0,0,0,3.4,1.4,2.0,2.0,17,0
independent_5000,independent,5000,depth1,4,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,25,0
independent_5000,independent,5000,depth1,6,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,25,0
independent_5000,independent,5000,depth1,unlimited,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,25,0
independent_5000,independent,5000,completion,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,0,0
independent_5000,independent,5000,completion,1,4,0,2,0,2,2.0,1,1,0,0,0,0,3.4,2.4,1.0,1.0,0,0
independent_5000,independent,5000,completion,2,4,0,3,0,1,1.0,2,2,0,0,0,0,3.4,1.4,2.0,2.0,0,0
independent_5000,independent,5000,completion,4,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,0,0
independent_5000,independent,5000,completion,6,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,0,0
independent_5000,independent,5000,completion,unlimited,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,0,0
independent_5000,independent,5000,depth2,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,1,0
independent_5000,independent,5000,depth2,1,4,0,2,0,2,2.0,1,1,0,0,0,0,3.4,2.4,1.0,1.0,10,0
independent_5000,independent,5000,depth2,2,4,0,3,0,1,1.0,2,2,0,0,0,0,3.4,1.4,2.0,2.0,41,0
independent_5000,independent,5000,depth2,4,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,depth2,6,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,depth2,unlimited,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,depth3,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,1,0
independent_5000,independent,5000,depth3,1,4,0,2,0,2,2.0,1,1,0,0,0,0,3.4,2.4,1.0,1.0,10,0
independent_5000,independent,5000,depth3,2,4,0,3,0,1,1.0,2,2,0,0,0,0,3.4,1.4,2.0,2.0,41,0
independent_5000,independent,5000,depth3,4,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,105,0
independent_5000,independent,5000,depth3,6,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,105,0
independent_5000,independent,5000,depth3,unlimited,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,105,0
independent_5000,independent,5000,generic2,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,1,0
independent_5000,independent,5000,generic2,1,4,0,2,0,2,2.0,1,1,0,0,0,0,3.4,2.4,1.0,1.0,10,0
independent_5000,independent,5000,generic2,2,4,0,3,0,1,1.0,2,2,0,0,0,0,3.4,1.4,2.0,2.0,41,0
independent_5000,independent,5000,generic2,4,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,generic2,6,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,generic2,unlimited,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,no_scope,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,1,0
independent_5000,independent,5000,no_scope,1,4,0,2,0,2,2.0,1,1,0,0,0,0,3.4,2.4,1.0,1.0,10,0
independent_5000,independent,5000,no_scope,2,4,0,3,0,1,1.0,2,2,0,0,0,0,3.4,1.4,2.0,2.0,41,0
independent_5000,independent,5000,no_scope,4,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,no_scope,6,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,no_scope,unlimited,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,request_specific,0,4,0,1,0,3,3.0,0,0,0,0,0,0,3.4,3.4,0.0,0.0,1,0
independent_5000,independent,5000,request_specific,1,4,0,2,0,2,2.0,1,1,0,0,0,0,3.4,2.4,1.0,1.0,10,0
independent_5000,independent,5000,request_specific,2,4,0,3,0,1,1.0,2,2,0,0,0,0,3.4,1.4,2.0,2.0,41,0
independent_5000,independent,5000,request_specific,4,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
independent_5000,independent,5000,request_specific,6,4,1,4,0,0,0,4,4,0,0,0,0,3.4,0.0,3.4,3.0,65,0
