project_id,month,change,rep,method,epoch,stress,raw_correct,raw_project_correct,accepted_correct,accepted_wrong,unfinished,project_correct,requirement_violations,dependency_inconsistencies,V,unaffected_artifacts,unnecessary_modifications,appendix_correct,calls,attempts,tokens,inference_seconds,wall_seconds,rounds,repair_repeats,direct_recipients,forwarded_messages,messages,checks,public_probe_executions,real_query_opportunities,user_changes,user_questions
eval_02_0,2011-02,country,0,shared_state,1,ordinary,3,0,3,0,1,0,1,0,0.5,1,0,1,4,4,3429,8.381883542169817,9.833606283995323,2,1,3,0,4,84,28,1,1,0
eval_02_0,2011-02,country,0,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2922,7.959144862019457,9.289532575989142,1,0,4,0,4,72,24,2,1,0
eval_02_0,2011-02,country,0,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2266,5.9291399320354685,6.745102297980338,1,0,3,0,3,60,20,1,1,0
eval_02_0,2011-02,country,0,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2268,5.896419419092126,6.750355605967343,1,0,1,2,3,60,20,1,1,0
eval_02_0,2011-02,country,0,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.011253354954533279,1,0,3,0,3,60,20,1,1,0
eval_02_0,2011-02,country,1,shared_state,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3369,7.629644148983061,8.746274192002602,2,1,3,0,4,84,28,1,1,0
eval_02_0,2011-02,country,1,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3681,9.450187767157331,11.000017205951735,2,1,4,0,5,90,30,2,1,0
eval_02_0,2011-02,country,1,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3025,8.05039468104951,9.18053144600708,2,1,3,0,4,78,26,1,1,0
eval_02_0,2011-02,country,1,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3027,7.642417432973161,9.484427107032388,2,1,2,2,4,78,26,1,1,0
eval_02_0,2011-02,country,1,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.0077680760296061635,1,0,3,0,3,60,20,1,1,0
eval_02_1,2011-02,metric,0,shared_state,1,ordinary,3,0,3,0,1,0,1,0,0.5,1,0,1,4,4,3575,8.380165386130102,9.585570945986547,2,1,3,0,4,84,28,1,1,0
eval_02_1,2011-02,metric,0,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,3019,7.751832377049141,8.88509515102487,1,0,4,0,4,72,24,2,1,0
eval_02_1,2011-02,metric,0,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2367,5.969752465025522,12.54243884596508,1,0,3,0,3,60,20,1,1,0
eval_02_1,2011-02,metric,0,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2367,5.746344543877058,6.578430555993691,1,0,1,2,3,60,20,1,1,0
eval_02_1,2011-02,metric,0,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.02520808100234717,1,0,3,0,3,60,20,1,1,0
eval_02_1,2011-02,metric,1,shared_state,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3295,7.197054821066558,8.31509832199663,2,1,3,0,4,84,28,1,1,0
eval_02_1,2011-02,metric,1,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2932,7.830282013164833,9.545348699903116,1,0,4,0,4,72,24,2,1,0
eval_02_1,2011-02,metric,1,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2273,5.067540380056016,6.513595736003481,1,0,3,0,3,60,20,1,1,0
eval_02_1,2011-02,metric,1,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2275,5.0146120470017195,5.852299391059205,1,0,1,2,3,60,20,1,1,0
eval_02_1,2011-02,metric,1,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.02525107003748417,1,0,3,0,3,60,20,1,1,0
eval_03_0,2011-03,period,0,shared_state,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2469,5.741956691024825,6.880955428001471,1,0,3,0,3,66,22,1,1,0
eval_03_0,2011-03,period,0,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2911,8.282407533028163,9.960362805053592,1,0,4,0,4,72,24,2,1,0
eval_03_0,2011-03,period,0,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2256,5.5480033659841865,6.3054821899859235,1,0,3,0,3,60,20,1,1,0
eval_03_0,2011-03,period,0,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2258,5.560083788004704,6.796525947051123,1,0,1,2,3,60,20,1,1,0
eval_03_0,2011-03,period,0,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.023012717021629214,1,0,3,0,3,60,20,1,1,0
eval_03_0,2011-03,period,1,shared_state,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2458,5.248743492062204,6.075479527004063,1,0,3,0,3,66,22,1,1,0
eval_03_0,2011-03,period,1,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2905,7.560421472066082,9.899932094966061,1,0,4,0,4,72,24,2,1,0
eval_03_0,2011-03,period,1,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2245,5.3616047139512375,6.364939437014982,1,0,3,0,3,60,20,1,1,0
eval_03_0,2011-03,period,1,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2259,5.192977706086822,6.439605730003677,1,0,1,2,3,60,20,1,1,0
eval_03_0,2011-03,period,1,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.031198171083815396,1,0,3,0,3,60,20,1,1,0
eval_03_1,2011-03,known_customer,0,shared_state,1,ordinary,3,0,3,0,1,0,1,0,0.5,1,0,1,4,4,3398,8.369770845165476,9.766777354059741,2,1,3,0,4,84,28,1,1,0
eval_03_1,2011-03,known_customer,0,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2890,7.7505846889689565,9.392761311028153,1,0,4,0,4,72,24,2,1,0
eval_03_1,2011-03,known_customer,0,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2238,6.207128928974271,7.026053196983412,1,0,3,0,3,60,20,1,1,0
eval_03_1,2011-03,known_customer,0,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2249,5.90661373292096,6.733077152981423,1,0,1,2,3,60,20,1,1,0
eval_03_1,2011-03,known_customer,0,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.027428773930296302,1,0,3,0,3,60,20,1,1,0
eval_03_1,2011-03,known_customer,1,shared_state,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2443,5.759482290130109,7.790524833952077,1,0,3,0,3,66,22,1,1,0
eval_03_1,2011-03,known_customer,1,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3436,7.935214732890017,9.347350976080634,2,1,4,0,5,90,30,2,1,0
eval_03_1,2011-03,known_customer,1,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,2784,5.747966105118394,6.859063136042096,2,1,3,0,4,78,26,1,1,0
eval_03_1,2011-03,known_customer,1,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2174,5.385402717045508,6.222954518045299,1,0,1,2,3,60,20,1,1,0
eval_03_1,2011-03,known_customer,1,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.03200203797314316,1,0,3,0,3,60,20,1,1,0
eval_04_0,2011-04,signed,0,shared_state,1,ordinary,3,0,3,0,1,0,1,0,0.5,1,0,1,4,4,3581,7.677203734987415,8.719046637997963,2,1,3,0,4,84,28,1,1,0
eval_04_0,2011-04,signed,0,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,5,5,3919,9.537391912890598,11.06931989104487,2,1,4,0,5,90,30,2,1,0
eval_04_0,2011-04,signed,0,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3254,7.9613922238349915,9.385485020000488,2,1,3,0,4,78,26,1,1,0
eval_04_0,2011-04,signed,0,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3256,7.330290835001506,8.75184263009578,2,1,2,2,4,78,26,1,1,0
eval_04_0,2011-04,signed,0,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.031264619901776314,1,0,3,0,3,60,20,1,1,0
eval_04_0,2011-04,signed,1,shared_state,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3385,6.3489604589995,7.44208820105996,2,1,3,0,4,84,28,1,1,0
eval_04_0,2011-04,signed,1,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,3019,7.045297191827558,9.695042258943431,1,0,4,0,4,72,24,2,1,0
eval_04_0,2011-04,signed,1,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2354,4.9977216720581055,6.3570456930901855,1,0,3,0,3,60,20,1,1,0
eval_04_0,2011-04,signed,1,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,4,4,3160,7.203510380117223,8.335553126991726,2,1,2,2,4,78,26,1,1,0
eval_04_0,2011-04,signed,1,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0.02501450094860047,1,0,3,0,3,60,20,1,1,0
eval_04_1,2011-04,display,0,shared_state,1,ordinary,3,0,3,0,1,0,1,0,0.5,2,0,1,3,3,2577,6.582743969978765,7.776438124012202,2,1,2,0,3,72,24,0,1,0
eval_04_1,2011-04,display,0,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,2,1,4,4,2853,7.49771354207769,8.60701555502601,1,0,4,0,4,72,24,2,1,0
eval_04_1,2011-04,display,0,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,2,2,1523,3.9569686660543084,5.104572867043316,1,0,2,0,2,48,16,0,1,0
eval_04_1,2011-04,display,0,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,3,3,2254,5.907833855017088,7.487750487984158,2,1,2,1,3,66,22,0,1,0
eval_04_1,2011-04,display,0,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,0,0,0,0,0.014367857947945595,1,0,2,0,2,48,16,0,1,0
eval_04_1,2011-04,display,1,shared_state,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,3,3,2437,5.858015721896663,7.259071083040908,2,1,2,0,3,72,24,0,1,0
eval_04_1,2011-04,display,1,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,2,1,4,4,2753,6.889378804946318,8.847763126017526,1,0,4,0,4,72,24,2,1,0
eval_04_1,2011-04,display,1,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,2,2,1420,3.8324579851469025,4.5256690790411085,1,0,2,0,2,48,16,0,1,0
eval_04_1,2011-04,display,1,sparse,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,2,2,1421,3.525874802027829,4.470945883076638,1,0,1,1,2,48,16,0,1,0
eval_04_1,2011-04,display,1,pipeline,1,ordinary,4,1,4,0,0,1,0,0,0.0,2,0,1,0,0,0,0,0.005947687895968556,1,0,2,0,2,48,16,0,1,0
eval_05_0,2011-05,country,0,shared_state,1,ordinary,3,0,3,0,1,0,1,0,0.5,1,0,1,4,4,3402,8.362609012168832,10.016702801105566,2,1,3,0,4,84,28,1,1,0
eval_05_0,2011-05,country,0,broadcast,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,1,1,4,4,2908,7.277806254918687,8.94480541604571,1,0,4,0,4,72,24,2,1,0
eval_05_0,2011-05,country,0,targeted,1,ordinary,4,1,4,0,0,1,0,0,0.0,1,0,1,3,3,2248,5.486481101019308,6.3724035560153425,1,0,3,0,3,60,20,1,1,0
