context,first,second,difference
e78f8b29-6085-43de-b32f-be1a68641be3,patch,individual,0.0
98c16699-d385-4631-91de-1bc3c87f9f99,patch,individual,0.0
991d23d7-f32d-4954-8e1d-87ad22470fcf,patch,individual,0.0
806ac467-ab50-428b-8584-baef6d6c4cee,patch,individual,0.0
67111519-017b-4638-9a74-41eb792c2f0f,patch,individual,0.0
635228dd-44ae-4ad2-817d-2079a9ceb320,patch,individual,0.0
dd47151a-e645-492f-af54-08e3e5b4254d,patch,individual,0.0
eaf92f5c-0a32-4cad-9919-067ae4c20978,patch,individual,0.0
cd19d6bc-f08e-452d-b682-4af9082ec82c,patch,individual,0.0
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,patch,individual,0.0
9ff39953-d7ca-40e1-9824-a14c05ee91e8,patch,individual,0.0
77d32d68-40b6-4c76-8151-58b6e99bae9a,patch,individual,0.0
e78f8b29-6085-43de-b32f-be1a68641be3,patch,execute,0.0
98c16699-d385-4631-91de-1bc3c87f9f99,patch,execute,0.0
991d23d7-f32d-4954-8e1d-87ad22470fcf,patch,execute,0.0
806ac467-ab50-428b-8584-baef6d6c4cee,patch,execute,0.0
67111519-017b-4638-9a74-41eb792c2f0f,patch,execute,0.0
635228dd-44ae-4ad2-817d-2079a9ceb320,patch,execute,0.0
dd47151a-e645-492f-af54-08e3e5b4254d,patch,execute,0.0
eaf92f5c-0a32-4cad-9919-067ae4c20978,patch,execute,0.0
cd19d6bc-f08e-452d-b682-4af9082ec82c,patch,execute,0.0
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,patch,execute,0.0
9ff39953-d7ca-40e1-9824-a14c05ee91e8,patch,execute,0.0
77d32d68-40b6-4c76-8151-58b6e99bae9a,patch,execute,0.0
e78f8b29-6085-43de-b32f-be1a68641be3,patch,reattempt,-0.16666666666666669
98c16699-d385-4631-91de-1bc3c87f9f99,patch,reattempt,0.0
991d23d7-f32d-4954-8e1d-87ad22470fcf,patch,reattempt,0.0
806ac467-ab50-428b-8584-baef6d6c4cee,patch,reattempt,0.0
67111519-017b-4638-9a74-41eb792c2f0f,patch,reattempt,0.0
635228dd-44ae-4ad2-817d-2079a9ceb320,patch,reattempt,0.0
dd47151a-e645-492f-af54-08e3e5b4254d,patch,reattempt,0.0
eaf92f5c-0a32-4cad-9919-067ae4c20978,patch,reattempt,0.0
cd19d6bc-f08e-452d-b682-4af9082ec82c,patch,reattempt,0.0
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,patch,reattempt,0.0
9ff39953-d7ca-40e1-9824-a14c05ee91e8,patch,reattempt,0.0
77d32d68-40b6-4c76-8151-58b6e99bae9a,patch,reattempt,0.0
e78f8b29-6085-43de-b32f-be1a68641be3,patch,verify,0.0
98c16699-d385-4631-91de-1bc3c87f9f99,patch,verify,0.0
991d23d7-f32d-4954-8e1d-87ad22470fcf,patch,verify,0.0
806ac467-ab50-428b-8584-baef6d6c4cee,patch,verify,0.0
67111519-017b-4638-9a74-41eb792c2f0f,patch,verify,0.0
635228dd-44ae-4ad2-817d-2079a9ceb320,patch,verify,0.0
dd47151a-e645-492f-af54-08e3e5b4254d,patch,verify,0.0
eaf92f5c-0a32-4cad-9919-067ae4c20978,patch,verify,0.0
cd19d6bc-f08e-452d-b682-4af9082ec82c,patch,verify,0.0
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,patch,verify,0.0
9ff39953-d7ca-40e1-9824-a14c05ee91e8,patch,verify,0.0
77d32d68-40b6-4c76-8151-58b6e99bae9a,patch,verify,0.0
e78f8b29-6085-43de-b32f-be1a68641be3,patch,coarse,-0.6666666666666667
98c16699-d385-4631-91de-1bc3c87f9f99,patch,coarse,0.0
991d23d7-f32d-4954-8e1d-87ad22470fcf,patch,coarse,0.0
806ac467-ab50-428b-8584-baef6d6c4cee,patch,coarse,0.16666666666666669
67111519-017b-4638-9a74-41eb792c2f0f,patch,coarse,0.0
635228dd-44ae-4ad2-817d-2079a9ceb320,patch,coarse,0.0
dd47151a-e645-492f-af54-08e3e5b4254d,patch,coarse,0.0
eaf92f5c-0a32-4cad-9919-067ae4c20978,patch,coarse,0.0
cd19d6bc-f08e-452d-b682-4af9082ec82c,patch,coarse,0.0
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,patch,coarse,0.0
9ff39953-d7ca-40e1-9824-a14c05ee91e8,patch,coarse,0.0
77d32d68-40b6-4c76-8151-58b6e99bae9a,patch,coarse,0.0
e78f8b29-6085-43de-b32f-be1a68641be3,patch,no_applicability,0.0
98c16699-d385-4631-91de-1bc3c87f9f99,patch,no_applicability,0.0
991d23d7-f32d-4954-8e1d-87ad22470fcf,patch,no_applicability,0.0
806ac467-ab50-428b-8584-baef6d6c4cee,patch,no_applicability,0.0
67111519-017b-4638-9a74-41eb792c2f0f,patch,no_applicability,0.0
635228dd-44ae-4ad2-817d-2079a9ceb320,patch,no_applicability,0.0
dd47151a-e645-492f-af54-08e3e5b4254d,patch,no_applicability,0.0
eaf92f5c-0a32-4cad-9919-067ae4c20978,patch,no_applicability,0.0
cd19d6bc-f08e-452d-b682-4af9082ec82c,patch,no_applicability,0.0
5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,patch,no_applicability,0.0
9ff39953-d7ca-40e1-9824-a14c05ee91e8,patch,no_applicability,0.0
77d32d68-40b6-4c76-8151-58b6e99bae9a,patch,no_applicability,0.0
