revision,context,question,answer_type,executable,public_contract,reason,metadata_only_contract
v1,e78f8b29-6085-43de-b32f-be1a68641be3,9c569bea-e036-4c27-8e41-82c6efab1d31,multi-span,False,False,unsupported,
v1,e78f8b29-6085-43de-b32f-be1a68641be3,83dcc128-9777-4ae2-ba55-50162ac43257,span,False,False,unsupported,
v1,e78f8b29-6085-43de-b32f-be1a68641be3,0384152d-1f9f-4b12-85a9-2ca5e1c97682,span,False,False,unsupported,
v1,e78f8b29-6085-43de-b32f-be1a68641be3,dbee8930-0110-41c7-95fe-0178ddf4f841,arithmetic,False,False,unsupported constant,False
v1,e78f8b29-6085-43de-b32f-be1a68641be3,1665b441-93e5-481d-b0b4-2d28ce70e1a8,arithmetic,False,False,unsupported,
v1,e78f8b29-6085-43de-b32f-be1a68641be3,2cec8a99-3a83-409b-886b-dbb65a05fb25,arithmetic,True,False,metric_support;operation_contract,False
v1,98c16699-d385-4631-91de-1bc3c87f9f99,dd2a72ca-f65c-4673-9820-f7cefcb06ee4,span,False,False,unsupported,
v1,98c16699-d385-4631-91de-1bc3c87f9f99,f4410a2a-6ce4-484c-ba08-0261a6c74893,span,False,False,unsupported reference,False
v1,98c16699-d385-4631-91de-1bc3c87f9f99,b3091542-8205-4661-9a7d-4d466cdf3134,span,True,False,metric_support,True
v1,98c16699-d385-4631-91de-1bc3c87f9f99,aa051557-3b4c-497f-b14e-2c8b8b2c99ef,arithmetic,True,False,dimensionless_unit;metric_support;operation_contract,False
v1,98c16699-d385-4631-91de-1bc3c87f9f99,f46b8d2a-06aa-4e51-a05d-f3beb255f73c,span,False,False,unsupported reference,False
v1,98c16699-d385-4631-91de-1bc3c87f9f99,6a462285-d663-4da7-b614-77a0dfb56a8c,arithmetic,True,False,period_binding;unsupported_period,False
v1,991d23d7-f32d-4954-8e1d-87ad22470fcf,9ef99ae1-e17b-4b51-b81e-48cc48a481d1,multi-span,False,False,unsupported,
v1,991d23d7-f32d-4954-8e1d-87ad22470fcf,49995e73-6740-40f5-9322-cfa4f0a4377d,multi-span,False,False,unsupported,
v1,991d23d7-f32d-4954-8e1d-87ad22470fcf,0a36372a-151d-432f-becb-5b2d738f0e56,multi-span,False,False,Unsupported calculation,False
v1,991d23d7-f32d-4954-8e1d-87ad22470fcf,2965da5c-4d2a-402c-85c6-c1514f998285,count,False,False,unsupported,
v1,991d23d7-f32d-4954-8e1d-87ad22470fcf,847400ae-6d72-4afa-9b2c-c9677578034a,arithmetic,True,False,metric_support,False
v1,991d23d7-f32d-4954-8e1d-87ad22470fcf,1c78b8ad-5dd7-471e-bafd-71e1515afaa3,arithmetic,False,False,list index out of range,False
v1,806ac467-ab50-428b-8584-baef6d6c4cee,d4919a15-b02b-4392-99ae-9eccd114e0ff,span,False,False,unsupported,
v1,806ac467-ab50-428b-8584-baef6d6c4cee,05236c86-d05a-40d9-b15f-8eb197e2e158,span,True,False,metric_support,True
v1,806ac467-ab50-428b-8584-baef6d6c4cee,f14ec8e3-78ca-490c-afcd-fb53de9e3d0a,span,False,False,unsupported,
v1,806ac467-ab50-428b-8584-baef6d6c4cee,5d471d72-8847-44c3-a732-a1fd3cdd57a0,arithmetic,True,False,metric_support,True
v1,806ac467-ab50-428b-8584-baef6d6c4cee,70cc2860-933e-415f-acc0-d49985ed86d3,arithmetic,True,False,metric_support;unsupported_period,True
v1,806ac467-ab50-428b-8584-baef6d6c4cee,292786c8-d057-44e9-b6f8-e22e2390c4a7,arithmetic,True,False,metric_support,True
