method,key,returned,expected,count
dependency_barrier,hotel.area,center of town,centre,3
dependency_barrier,hotel.pricerange,expensive,cheap,8
dependency_barrier,restaurant.area,center of town,centre,3
full_history,hotel.pricerange,expensive,cheap,6
full_history,hotel.pricerange,expensive,moderate,8
full_history,hotel.pricerange,moderate,expensive,7
full_history,hotel.type,hotel,guesthouse,8
full_history,restaurant.food,south african,italian,2
full_history,restaurant.food,sri lankan,modern european,2
global_barrier,hotel.area,center of town,centre,3
global_barrier,hotel.pricerange,expensive,cheap,8
global_barrier,restaurant.area,center of town,centre,3
no_scope,hotel.area,center of town,centre,3
no_scope,hotel.pricerange,expensive,cheap,8
no_scope,restaurant.area,center of town,centre,6
no_scope,restaurant.pricerange,expensive,moderate,3
no_source_guard,hotel.area,center of town,centre,3
no_source_guard,hotel.pricerange,expensive,cheap,8
no_source_guard,restaurant.area,center of town,centre,6
records_read,hotel.area,center of town,centre,3
records_read,hotel.pricerange,cheap,expensive,8
records_read,hotel.pricerange,expensive,cheap,8
records_read,hotel.pricerange,expensive,moderate,8
records_read,hotel.stars,3,4,6
records_read,restaurant.food,eastern european,italian,4
records_read,restaurant.food,middle eastern,indian,4
records_read,restaurant.food,middle eastern,italian,4
records_read,restaurant.food,modern eclectic,mediterranean,4
records_read,restaurant.food,romanian,european,4
records_read,restaurant.food,south african,italian,4
records_read,restaurant.food,spanish,african,4
records_read,restaurant.food,spanish,british,4
records_read,restaurant.food,sri lankan,modern european,4
semantic_memory,hotel.area,center of town,centre,3
semantic_memory,hotel.pricerange,expensive,cheap,8
semantic_memory,hotel.type,hotel,guesthouse,6
semantic_memory,restaurant.area,center of town,centre,6
