bundle,replica,condition,load,at,offered,admitted,started,received,unstarted,in_flight,queued,active,deferred,unresolved,resolved,withdrawn,released,remaining
0,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
0,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
0,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
0,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
0,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
0,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
0,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
0,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
0,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
0,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
0,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
0,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
1,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
1,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
1,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
1,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
1,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
1,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
1,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
1,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
1,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
1,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
1,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
1,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
2,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
2,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
2,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
2,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
2,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
2,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
2,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
2,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
2,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
2,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
2,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
2,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
3,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
3,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
3,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
3,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
3,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
3,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
3,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
3,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
3,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
3,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
3,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
3,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
4,0,queue,higher,0.45,13,13,13,13,0,0,9,1,1,11,2,0,2,11
4,0,queue,lower,0.45,13,3,3,3,10,0,0,1,1,2,1,0,1,12
4,0,sessions,higher,0.45,13,13,13,13,0,0,9,1,1,11,2,0,2,11
4,0,sessions,lower,0.45,13,2,2,2,11,0,0,0,1,1,1,0,1,12
4,0,threads,higher,0.45,13,13,13,13,0,0,9,1,1,11,2,0,2,11
4,0,threads,lower,0.45,13,3,3,3,10,0,0,1,1,2,1,0,1,12
4,1,queue,higher,0.45,13,13,13,13,0,0,9,1,1,11,2,0,2,11
4,1,queue,lower,0.45,13,3,3,3,10,0,0,1,1,2,1,0,1,12
4,1,sessions,higher,0.45,13,13,13,13,0,0,9,1,1,11,2,0,2,11
4,1,sessions,lower,0.45,13,2,2,2,11,0,0,0,1,1,1,0,1,12
4,1,threads,higher,0.45,13,13,13,13,0,0,9,1,1,11,2,0,2,11
4,1,threads,lower,0.45,13,3,3,3,10,0,0,1,1,2,1,0,1,12
5,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
5,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
5,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
5,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
5,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
5,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
5,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
6,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
6,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
6,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
6,1,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,1,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
6,1,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,1,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
6,1,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
6,1,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
7,0,queue,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,0,queue,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
7,0,sessions,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,0,sessions,lower,0.45,12,2,2,2,10,0,0,0,1,1,1,0,1,11
7,0,threads,higher,0.45,12,12,12,12,0,0,8,1,1,10,2,0,2,10
7,0,threads,lower,0.45,12,3,3,3,9,0,0,1,1,2,1,0,1,11
