seed,review_ticks,policy,tick,eligible_count,selected,search_greedy_disagreement,search_edf_disagreement,choice_fcfs,choice_uncertainty,choice_myopic,choice_greedy,choice_edf,choice_delay
300,1,fcfs,0,3,a0j0,True,True,a0j0,a0j0,a1j0,a1j0,a1j0,a0j0
300,1,fcfs,1,2,a1j0,False,False,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
300,1,fcfs,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
300,1,fcfs,3,0,,False,False,,,,,,
300,1,fcfs,4,0,,False,False,,,,,,
300,1,fcfs,5,0,,False,False,,,,,,
300,1,fcfs,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,1,fcfs,7,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,1,fcfs,8,1,a2j1,False,False,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
300,1,fcfs,9,0,,False,False,,,,,,
300,1,fcfs,10,0,,False,False,,,,,,
300,1,fcfs,11,0,,False,False,,,,,,
300,1,uncertainty,0,3,a0j0,True,True,a0j0,a0j0,a1j0,a1j0,a1j0,a0j0
300,1,uncertainty,1,2,a1j0,False,False,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
300,1,uncertainty,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
300,1,uncertainty,3,0,,False,False,,,,,,
300,1,uncertainty,4,0,,False,False,,,,,,
300,1,uncertainty,5,0,,False,False,,,,,,
300,1,uncertainty,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,1,uncertainty,7,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,1,uncertainty,8,1,a2j1,False,False,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
300,1,uncertainty,9,0,,False,False,,,,,,
300,1,uncertainty,10,0,,False,False,,,,,,
300,1,uncertainty,11,0,,False,False,,,,,,
300,1,myopic,0,3,a1j0,True,True,a0j0,a0j0,a1j0,a1j0,a1j0,a0j0
300,1,myopic,1,2,a0j0,False,False,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
300,1,myopic,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
300,1,myopic,3,0,,False,False,,,,,,
300,1,myopic,4,0,,False,False,,,,,,
300,1,myopic,5,0,,False,False,,,,,,
300,1,myopic,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,1,myopic,7,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,1,myopic,8,1,a2j1,False,False,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
300,1,myopic,9,0,,False,False,,,,,,
300,1,myopic,10,0,,False,False,,,,,,
300,1,myopic,11,0,,False,False,,,,,,
300,1,greedy,0,3,a1j0,True,True,a0j0,a0j0,a1j0,a1j0,a1j0,a0j0
300,1,greedy,1,2,a0j0,False,False,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
300,1,greedy,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
300,1,greedy,3,0,,False,False,,,,,,
300,1,greedy,4,0,,False,False,,,,,,
300,1,greedy,5,0,,False,False,,,,,,
300,1,greedy,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,1,greedy,7,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,1,greedy,8,1,a2j1,False,False,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
300,1,greedy,9,0,,False,False,,,,,,
300,1,greedy,10,0,,False,False,,,,,,
300,1,greedy,11,0,,False,False,,,,,,
300,1,edf,0,3,a1j0,True,True,a0j0,a0j0,a1j0,a1j0,a1j0,a0j0
300,1,edf,1,2,a0j0,False,False,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
300,1,edf,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
300,1,edf,3,0,,False,False,,,,,,
300,1,edf,4,0,,False,False,,,,,,
300,1,edf,5,0,,False,False,,,,,,
300,1,edf,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,1,edf,7,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,1,edf,8,1,a2j1,False,False,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
300,1,edf,9,0,,False,False,,,,,,
300,1,edf,10,0,,False,False,,,,,,
300,1,edf,11,0,,False,False,,,,,,
300,1,delay,0,3,a0j0,True,True,a0j0,a0j0,a1j0,a1j0,a1j0,a0j0
300,1,delay,1,2,a1j0,False,False,a1j0,a1j0,a1j0,a1j0,a1j0,a1j0
300,1,delay,2,1,a2j0,False,False,a2j0,a2j0,a2j0,a2j0,a2j0,a2j0
300,1,delay,3,0,,False,False,,,,,,
300,1,delay,4,0,,False,False,,,,,,
300,1,delay,5,0,,False,False,,,,,,
300,1,delay,6,3,a0j1,False,False,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
300,1,delay,7,2,a1j1,False,False,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
300,1,delay,8,1,a2j1,False,False,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
