agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,tick,pending_count,eligible_count,selected,planning_seconds,ordered_subsets_evaluated,choice_frozen_greedy,choice_frozen_delay,choice_frozen_edf,choice_pooled_greedy,choice_pooled_delay,choice_pooled_edf,choice_analytical_greedy,choice_analytical_delay,choice_analytical_edf
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,0,2,2,a2j0,3.2261013984680176e-05,0,a2j0,a1j0,a1j0,a2j0,a1j0,a1j0,a2j0,a1j0,a1j0
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,1,1,1,a0j0,2.5900080800056458e-05,0,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,2,0,0,,1.087971031665802e-05,0,,,,,,,,,
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,3,0,0,,1.163966953754425e-05,0,,,,,,,,,
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,4,0,0,,6.429851055145264e-06,0,,,,,,,,,
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,5,0,0,,6.12996518611908e-06,0,,,,,,,,,
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,6,2,2,a1j1,1.9028782844543457e-05,0,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1,a1j1
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,7,2,2,a0j1,2.5199726223945618e-05,0,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1,a0j1
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,8,1,1,a2j1,1.2578442692756653e-05,0,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
3,0,0,12,6,58,risk_pilot,12,greedy,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,400,original,9,0,0,,4.32133674621582e-06,0,,,,,,,,,
