policy,seed,scenario_hash,evidence,status,error,planned_calls,total_loss,accrued_loss,loss_upper_bound,correct_jobs,jobs_closed,reviews_started,reviews_completed,corrections,late_returns,expired_requests,review_busy_ticks,simulated_ticks_completed,incomplete_service,episode_wall_seconds,scheduled_calls,attempts,prompt_tokens,completion_tokens,unknown_token_attempts,request_wall_seconds,agents,closure_penalty,execution_index,horizon,jobs,phase,review_ticks,risk,run_id,workload
greedy,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,12,12,58,5,6,5,5,2,0,1,5,12,,2.469641,12,12,2564,84,0,1.6972569078207016,3,0,0,12,6,risk_pilot,1,frozen,risk_pilot/original/400/a3/s1/frozen/greedy/lambda0,original
delay,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,4,4,58,6,6,6,6,3,0,0,6,12,,2.397427,12,12,2618,84,0,1.6739505995064974,3,0,1,12,6,risk_pilot,1,frozen,risk_pilot/original/400/a3/s1/frozen/delay/lambda0,original
greedy,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,12,12,58,5,6,5,5,2,0,1,5,12,,3.152655,12,12,2564,84,0,1.6688282173126936,3,0,2,12,6,risk_pilot,1,pooled,risk_pilot/original/400/a3/s1/pooled/greedy/lambda0,original
delay,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,4,4,58,6,6,6,6,3,0,0,6,12,,2.378065,12,12,2618,84,0,1.6739460453391075,3,0,3,12,6,risk_pilot,1,pooled,risk_pilot/original/400/a3/s1/pooled/delay/lambda0,original
greedy,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,12,12,58,5,6,5,5,2,0,1,5,12,,2.419926,12,12,2564,84,0,1.6856061033904552,3,0,4,12,6,risk_pilot,1,analytical,risk_pilot/original/400/a3/s1/analytical/greedy/lambda0,original
delay,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,4,4,58,6,6,6,6,3,0,0,6,12,,2.477642,12,12,2618,84,0,1.6841103695333004,3,0,5,12,6,risk_pilot,1,analytical,risk_pilot/original/400/a3/s1/analytical/delay/lambda0,original
delay,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,28,28,58,3,6,2,2,0,0,4,4,12,,2.511029,12,12,2510,84,0,1.7035609185695648,3,0,6,12,6,risk_pilot,2,pooled,risk_pilot/original/400/a3/s2/pooled/delay/lambda0,original
greedy,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,28,28,58,3,6,2,2,0,0,4,4,12,,2.47358,12,12,2510,84,0,1.6813825871795416,3,0,7,12,6,risk_pilot,2,pooled,risk_pilot/original/400/a3/s2/pooled/greedy/lambda0,original
delay,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,28,28,58,3,6,2,2,0,0,4,4,12,,2.577491,12,12,2510,84,0,1.6853596698492765,3,0,8,12,6,risk_pilot,2,analytical,risk_pilot/original/400/a3/s2/analytical/delay/lambda0,original
greedy,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,28,28,58,3,6,2,2,0,0,4,4,12,,3.375482,12,12,2510,84,0,1.6792026367038488,3,0,9,12,6,risk_pilot,2,analytical,risk_pilot/original/400/a3/s2/analytical/greedy/lambda0,original
delay,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,28,28,58,3,6,2,2,0,0,4,4,12,,2.509183,12,12,2510,84,0,1.6783472541719675,3,0,10,12,6,risk_pilot,2,frozen,risk_pilot/original/400/a3/s2/frozen/delay/lambda0,original
greedy,400,efc6a697a4b0ae44a033720cf848d64338e1c40591c5b22f55f2cc625f23cda4,live_gpu,completed,,12,28,28,58,3,6,2,2,0,0,4,4,12,,2.4865,12,12,2510,84,0,1.6747395731508732,3,0,11,12,6,risk_pilot,2,frozen,risk_pilot/original/400/a3/s2/frozen/greedy/lambda0,original
greedy,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.487145,12,12,2624,84,0,1.691013416275382,3,0,12,12,6,risk_pilot,1,frozen,risk_pilot/competition/400/a3/s1/frozen/greedy/lambda0,competition
delay,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.499308,12,12,2624,84,0,1.6728000789880753,3,0,13,12,6,risk_pilot,1,frozen,risk_pilot/competition/400/a3/s1/frozen/delay/lambda0,competition
greedy,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.474765,12,12,2624,84,0,1.667199606075883,3,0,14,12,6,risk_pilot,1,pooled,risk_pilot/competition/400/a3/s1/pooled/greedy/lambda0,competition
delay,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.527984,12,12,2624,84,0,1.6578060202300549,3,0,15,12,6,risk_pilot,1,pooled,risk_pilot/competition/400/a3/s1/pooled/delay/lambda0,competition
greedy,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,2.584709,12,12,2624,84,0,1.672822192311287,3,0,16,12,6,risk_pilot,1,analytical,risk_pilot/competition/400/a3/s1/analytical/greedy/lambda0,competition
delay,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,6,6,0,0,0,6,12,,3.03985,12,12,2624,84,0,1.6591414865106344,3,0,17,12,6,risk_pilot,1,analytical,risk_pilot/competition/400/a3/s1/analytical/delay/lambda0,competition
delay,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.455485,12,12,2570,84,0,1.683586847037077,3,0,18,12,6,risk_pilot,2,pooled,risk_pilot/competition/400/a3/s2/pooled/delay/lambda0,competition
greedy,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.481652,12,12,2570,84,0,1.6616306155920029,3,0,19,12,6,risk_pilot,2,pooled,risk_pilot/competition/400/a3/s2/pooled/greedy/lambda0,competition
delay,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.39463,12,12,2570,84,0,1.6724673099815845,3,0,20,12,6,risk_pilot,2,analytical,risk_pilot/competition/400/a3/s2/analytical/delay/lambda0,competition
greedy,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.453477,12,12,2570,84,0,1.673533946275711,3,0,21,12,6,risk_pilot,2,analytical,risk_pilot/competition/400/a3/s2/analytical/greedy/lambda0,competition
delay,400,9dc87b4234cbbe4b58a97e317b530ad2e70a916327c5cb78b7507de085cc09c3,live_gpu,completed,,12,0,0,48,6,6,4,4,0,0,2,8,12,,2.401399,12,12,2570,84,0,1.673097763210535,3,0,22,12,6,risk_pilot,2,frozen,risk_pilot/competition/400/a3/s2/frozen/delay/lambda0,competition
