agents,closure_penalty,execution_index,horizon,jobs,loss_upper_bound,phase,planned_calls,policy,review_ticks,risk,run_id,scenario_hash,seed,workload,tick,pending_count,eligible_count,selected,planning_seconds,ordered_subsets_evaluated,choice_frozen_greedy,choice_frozen_delay,choice_frozen_edf,choice_pooled_greedy,choice_pooled_delay,choice_pooled_edf,choice_analytical_greedy,choice_analytical_delay,choice_analytical_edf
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,0,2,2,a1j0,1.8279999494552612e-05,0,a1j0,a1j0,a1j0,a2j0,a1j0,a1j0,a1j0,a1j0,a1j0
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,1,2,2,a2j0,1.636892557144165e-05,0,a0j0,a2j0,a2j0,a0j0,a2j0,a2j0,a0j0,a2j0,a2j0
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,2,1,1,a0j0,9.870156645774841e-06,0,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0,a0j0
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,3,0,0,,1.1829659342765808e-05,0,,,,,,,,,
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,4,0,0,,4.868954420089722e-06,0,,,,,,,,,
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,5,0,0,,3.779307007789612e-06,0,,,,,,,,,
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,6,0,0,,8.800998330116272e-06,0,,,,,,,,,
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,7,3,3,a0j1,2.980045974254608e-05,0,a2j1,a0j1,a0j1,a2j1,a0j1,a0j1,a2j1,a0j1,a0j1
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,8,2,2,a1j1,1.5808269381523132e-05,0,a2j1,a1j1,a1j1,a2j1,a1j1,a1j1,a2j1,a2j1,a1j1
3,0,0,12,6,75,replication,12,fcfs,1,frozen,replication/original/10000/a3/s1/frozen/fcfs/lambda0,72d912f261b072cacfb2d06c4e1c50d5876dc5315e4362da8fc5f552a6ea2611,10000,original,9,1,1,a2j1,1.3148412108421326e-05,0,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1,a2j1
