kind,study,workload,seed,left,right,review_ticks,risk,agents,loss_difference,incorrect_difference,loss_per_job_difference,lower_bound,upper_bound,paired_jobs,primary_action_differences,secondary_action_differences,different_observations,identical_request_primary_differences
capacity,core,larger,408,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,8.0,1,0.05555555555555558,8.0,8.0,9,0,0,5,0
capacity,core,larger,409,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,5.0,1,0.2222222222222222,5.0,5.0,9,0,0,5,0
capacity,core,larger,410,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,8.0,0,0.05555555555555558,8.0,8.0,9,0,0,4,0
capacity,core,larger,411,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,1,frozen,6,21.0,3,0.8333333333333334,21.0,21.0,9,0,0,6,0
capacity,core,larger,408,larger|a6|s1|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,1,frozen,6,15.0,0,0.44444444444444453,15.0,15.0,9,0,0,5,0
capacity,core,larger,409,larger|a6|s1|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,1,frozen,6,9.0,1,0.4444444444444445,9.0,9.0,9,0,0,4,0
capacity,core,larger,410,larger|a6|s1|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,1,frozen,6,9.0,0,0.0,9.0,9.0,9,0,0,5,0
capacity,core,larger,411,larger|a6|s1|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,1,frozen,6,36.0,2,1.5,36.0,36.0,9,0,0,5,0
capacity,core,larger,408,larger|a6|s1|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,1,frozen,6,25.0,2,0.9444444444444444,25.0,25.0,9,0,0,1,0
capacity,core,larger,409,larger|a6|s1|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,1,frozen,6,7.0,1,0.3333333333333333,7.0,7.0,9,0,0,2,0
