kind,study,workload,agents,review_ticks,risk,left,right,primary,planned_pairs,completed_pairs,mean_loss_difference,ci_low,ci_high,left_wins,ties,left_losses,actual_order_differences,mean_incorrect_difference,incorrect_ci_low,incorrect_ci_high,mean_loss_per_job_difference,per_job_ci_low,per_job_ci_high,lower_loss_more_incorrect,lower_incorrect_higher_loss,common_objective_0_difference,common_objective_0_ci_low,common_objective_0_ci_high,common_objective_4_difference,common_objective_4_ci_low,common_objective_4_ci_high,common_objective_8_difference,common_objective_8_ci_low,common_objective_8_ci_high
capacity,core,larger,6,1,frozen,larger|a6|s1|frozen|delay|lambda0,larger|a3|s1|frozen|delay|lambda0,False,32,32,10.53125,9.0,12.1875,1,0,31,32,0.71875,0.4375,1.0,0.2708333333333334,0.15625,0.3854166666666667,0,0,10.53125,9.0,12.1875,13.40625,11.24921875,15.78125,16.28125,13.125,19.625
capacity,core,larger,6,1,frozen,larger|a6|s1|frozen|edf|lambda0,larger|a3|s1|frozen|edf|lambda0,False,32,32,17.125,13.21875,21.3125,0,2,30,32,0.46875,0.25,0.6875,0.5868055555555557,0.4184027777777778,0.7673611111111112,0,0,17.125,13.21875,21.3125,19.0,14.6546875,23.719531249999996,20.875,16.0,26.250781249999996
capacity,core,larger,6,1,frozen,larger|a6|s1|frozen|fcfs|lambda0,larger|a3|s1|frozen|fcfs|lambda0,False,32,32,17.1875,13.8125,20.625,0,3,29,32,1.25,0.93671875,1.625,0.576388888888889,0.3662760416666667,0.7916666666666666,0,0,17.1875,13.8125,20.625,22.1875,17.9375,26.46875,27.1875,21.8421875,32.438281249999996
capacity,core,larger,6,1,frozen,larger|a6|s1|frozen|greedy|lambda0,larger|a3|s1|frozen|greedy|lambda0,False,32,32,16.15625,12.90546875,19.90781249999999,0,1,31,32,1.625,1.25,2.0625,0.5520833333333334,0.34201388888888895,0.7760416666666667,0,0,16.15625,12.90546875,19.90781249999999,22.65625,18.15625,27.6875,29.15625,23.25,35.594531249999996
capacity,core,larger,6,2,frozen,larger|a6|s2|frozen|delay|lambda0,larger|a3|s2|frozen|delay|lambda0,False,32,32,21.65625,18.43671875,25.125,0,1,31,32,1.875,1.5,2.21875,0.37500000000000006,0.11453993055555554,0.6493489583333332,0,0,21.65625,18.43671875,25.125,29.15625,24.6546875,33.688281249999996,36.65625,30.78125,42.407031249999996
capacity,core,larger,6,2,frozen,larger|a6|s2|frozen|edf|lambda0,larger|a3|s2|frozen|edf|lambda0,False,32,32,30.53125,24.9375,36.625781249999996,0,2,30,31,2.03125,1.65625,2.4375,0.8368055555555555,0.5,1.1823350694444443,0,0,30.53125,24.9375,36.625781249999996,38.65625,31.7484375,46.032031249999996,46.78125,38.37265625,55.563281249999996
capacity,core,larger,6,2,frozen,larger|a6|s2|frozen|fcfs|lambda0,larger|a3|s2|frozen|fcfs|lambda0,False,32,32,25.21875,19.87265625,31.375781249999996,0,3,29,31,1.84375,1.4375,2.28125,0.501736111111111,0.11974826388888886,0.8993489583333332,0,0,25.21875,19.87265625,31.375781249999996,32.59375,25.9375,40.22265624999998,39.96875,31.87265625,49.19062499999998
capacity,core,larger,6,2,frozen,larger|a6|s2|frozen|greedy|lambda0,larger|a3|s2|frozen|greedy|lambda0,False,32,32,22.15625,17.96875,26.34375,0,1,31,32,1.96875,1.59375,2.375,0.41840277777777773,0.04856770833333325,0.7656684027777775,0,0,22.15625,17.96875,26.34375,30.03125,24.62421875,35.563281249999996,37.90625,31.125,44.8125
duration,core,competition,3,2,analytical,competition|a3|s2|analytical|delay|lambda0,competition|a3|s1|analytical|delay|lambda0,False,32,32,1.5,0.75,2.25,0,21,11,32,0.34375,0.1875,0.5,0.25,0.125,0.375,0,0,1.5,0.75,2.25,2.875,1.5,4.25,4.25,2.25,6.25
duration,core,competition,3,2,analytical,competition|a3|s2|analytical|greedy|lambda0,competition|a3|s1|analytical|greedy|lambda0,False,32,32,2.5,1.25,3.875,0,21,11,29,0.34375,0.1875,0.5,0.4166666666666667,0.20833333333333331,0.6458333333333333,0,0,2.5,1.25,3.875,3.875,2.0,5.875,5.25,2.746875,7.875
