policy,pending_count,eligible_count,decisions,mean_seconds,p50_seconds,p95_seconds,max_seconds,mean_orders,max_orders
delay,0,0,4967,5.337919493136282e-06,4.9192458391189575e-06,8.629634976387024e-06,5.974806845188141e-05,1.0,1
delay,1,0,754,8.325013443234745e-06,8.169561624526978e-06,1.1674594134092331e-05,3.795884549617767e-05,1.0,1
delay,1,1,1257,1.9083823490066952e-05,1.7540529370307922e-05,2.69722193479538e-05,0.000920349732041359,2.0,2
delay,2,0,104,9.820277157884378e-06,9.114854037761688e-06,1.2345053255558014e-05,2.681836485862732e-05,1.0,1
delay,2,1,353,2.0862749590414443e-05,1.870095729827881e-05,2.9576197266578655e-05,0.00020119734108448029,2.0,2
delay,2,2,1250,2.8139664232730867e-05,2.629496157169342e-05,3.9580371230840675e-05,0.00016458891332149506,5.0,5
delay,3,0,17,1.0191408150336321e-05,9.959563612937927e-06,1.2575834989547728e-05,1.2930482625961304e-05,1.0,1
delay,3,1,87,2.3492365732960316e-05,1.9837170839309692e-05,3.304630517959595e-05,0.00020075589418411255,2.0,2
delay,3,2,171,3.0078603858836214e-05,2.7220696210861206e-05,3.942009061574936e-05,7.076933979988098e-05,5.0,5
delay,3,3,1023,5.429643747976682e-05,4.711747169494629e-05,7.735341787338257e-05,0.00022946670651435852,16.0,16
delay,4,0,6,1.0435159007708231e-05,9.090639650821686e-06,1.4298129826784134e-05,1.5230849385261536e-05,1.0,1
delay,4,1,7,2.0763171570641653e-05,2.0271167159080505e-05,2.446193248033523e-05,2.5499612092971802e-05,2.0,2
delay,4,2,33,2.950311384417794e-05,2.7470290660858154e-05,3.836005926132202e-05,3.974698483943939e-05,5.0,5
delay,4,3,114,5.288080622752508e-05,4.732050001621246e-05,7.484769448637962e-05,9.150058031082153e-05,16.0,16
delay,4,4,229,0.00015535714779878808,0.0001312699168920517,0.00021333619952201843,0.0005183946341276169,65.0,65
delay,5,1,3,2.1316111087799072e-05,2.0349398255348206e-05,2.431906759738922e-05,2.4760141968727112e-05,2.0,2
delay,5,2,11,3.279271450909701e-05,3.3639371395111084e-05,3.977864980697632e-05,4.088878631591797e-05,5.0,5
delay,5,3,43,5.839912350787673e-05,6.11133873462677e-05,7.313378155231475e-05,0.00011053681373596191,16.0,16
