review_duration,comparison,bundles,mean_difference,ci_low,ci_high,search_wins,ties,search_losses
1,search-greedy,8,0.0,0.0,0.0,0,8,0
1,search-edf,8,0.0,0.0,0.0,0,8,0
1,search-fcfs,8,0.0,0.0,0.0,0,8,0
1,search-uncertainty,8,0.0,0.0,0.0,0,8,0
1,search-no_review,8,-7.833333333333334,-13.170833333333334,-3.333333333333333,6,2,0
2,search-greedy,8,1.0,0.0,3.0,0,7,1
2,search-edf,8,-0.3333333333333333,-1.0,0.0,1,7,0
2,search-fcfs,8,-0.3333333333333333,-1.0,0.0,1,7,0
2,search-uncertainty,8,1.0,0.0,3.0,0,7,1
2,search-no_review,8,-6.166666666666667,-10.333333333333334,-2.833333333333333,6,2,0
