review_duration,policy,episodes,scenario_bundles,operational_loss,task_completed,wrong_transactions,service_failure_loss,wrong_transaction_loss,completed_reviews,corrections,expired_useful_opportunities,multi_eligible_dispatches,greedy_search_different_heads,mean_loss,mean_utilization,mean_waiting,max_planning_ms
1,no_review,24,8,220,49,15,92,128,0,0,15,92,40,9.166666666666666,0.0,0.0,0.15311699826270342
1,fcfs,24,8,32,64,0,32,0,64,15,0,36,15,1.3333333333333333,0.511111111111111,0.5625,0.07320498116314411
1,edf,24,8,32,64,0,32,0,64,15,0,36,12,1.3333333333333333,0.511111111111111,0.5625,0.06114499410614371
1,uncertainty,24,8,32,64,0,32,0,58,15,0,36,15,1.3333333333333333,0.4666666666666666,0.41379310344827586,0.06965501233935356
1,greedy,24,8,32,64,0,32,0,58,15,0,36,15,1.3333333333333333,0.4666666666666666,0.41379310344827586,0.06025098264217377
1,search,24,8,32,64,0,32,0,64,15,0,36,15,1.3333333333333333,0.511111111111111,0.5625,0.08896295912563801
2,no_review,24,8,220,49,15,92,128,0,0,15,69,24,9.166666666666666,0.0,0.0,0.0923830084502697
2,fcfs,24,8,80,61,3,44,36,45,12,3,29,13,3.3333333333333335,0.7138888888888891,0.8444444444444444,0.08070201147347689
2,edf,24,8,80,61,3,44,36,48,12,3,34,13,3.3333333333333335,0.7555555555555556,1.0625,0.12828095350414515
2,uncertainty,24,8,48,63,1,36,12,42,14,1,22,11,2.0,0.6694444444444447,0.47619047619047616,0.06624398520216346
2,greedy,24,8,48,63,1,36,12,42,14,1,25,11,2.0,0.6694444444444447,0.5476190476190477,0.07603899575769901
2,search,24,8,72,61,3,44,28,48,12,3,34,13,3.0,0.7555555555555556,0.9583333333333334,0.11365697719156742
