bundle_id,review_duration,comparator,mean_search_minus_other,replicates
evaluation_00,1,greedy,0.0,3
evaluation_01,1,greedy,0.0,3
evaluation_02,1,greedy,0.0,3
evaluation_03,1,greedy,0.0,3
evaluation_04,1,greedy,0.0,3
evaluation_05,1,greedy,0.0,3
evaluation_06,1,greedy,0.0,3
evaluation_07,1,greedy,0.0,3
evaluation_08,1,greedy,0.0,3
evaluation_09,1,greedy,0.0,3
evaluation_10,1,greedy,0.0,3
evaluation_11,1,greedy,0.0,3
evaluation_12,1,greedy,0.0,3
evaluation_13,1,greedy,0.0,3
evaluation_14,1,greedy,0.0,3
evaluation_15,1,greedy,0.0,3
evaluation_16,1,greedy,0.0,3
evaluation_17,1,greedy,0.0,3
evaluation_18,1,greedy,0.0,3
evaluation_19,1,greedy,0.0,3
evaluation_20,1,greedy,0.0,3
evaluation_21,1,greedy,0.0,3
evaluation_22,1,greedy,0.0,3
evaluation_23,1,greedy,0.0,3
evaluation_24,1,greedy,0.0,3
evaluation_25,1,greedy,0.0,3
evaluation_26,1,greedy,0.0,3
evaluation_27,1,greedy,0.0,3
evaluation_28,1,greedy,0.0,3
evaluation_29,1,greedy,0.0,3
evaluation_30,1,greedy,0.0,3
evaluation_31,1,greedy,0.0,3
evaluation_00,1,edf,0.0,3
evaluation_01,1,edf,0.0,3
evaluation_02,1,edf,0.0,3
evaluation_03,1,edf,0.0,3
evaluation_04,1,edf,0.0,3
evaluation_05,1,edf,0.0,3
evaluation_06,1,edf,0.0,3
evaluation_07,1,edf,0.0,3
evaluation_08,1,edf,0.0,3
evaluation_09,1,edf,0.0,3
evaluation_10,1,edf,0.0,3
evaluation_11,1,edf,0.0,3
evaluation_12,1,edf,0.0,3
evaluation_13,1,edf,0.0,3
evaluation_14,1,edf,0.0,3
evaluation_15,1,edf,0.0,3
evaluation_16,1,edf,0.0,3
evaluation_17,1,edf,0.0,3
evaluation_18,1,edf,0.0,3
evaluation_19,1,edf,0.0,3
