bundle_id,replicate,review_duration,comparator,sequences_differ,search_sequence,other_sequence,loss_difference
evaluation_00,0,2,greedy,True,train:089;train:062,train:062;train:089,0
evaluation_00,0,2,edf,True,train:089;train:062,train:062;train:089,0
evaluation_00,0,1,greedy,True,train:089;train:062;train:018,train:062;train:018;train:089,0
evaluation_00,0,1,edf,True,train:089;train:062;train:018,train:062;train:018;train:089,0
evaluation_00,1,2,greedy,True,train:089;train:062,train:062;train:089,0
evaluation_00,1,2,edf,True,train:089;train:062,train:062;train:089,0
evaluation_00,1,1,greedy,True,train:089;train:062;train:018,train:062;train:018;train:089,0
evaluation_00,1,1,edf,True,train:089;train:062;train:018,train:062;train:018;train:089,0
evaluation_00,2,2,greedy,False,train:089,train:089,0
evaluation_00,2,2,edf,False,train:089,train:089,0
evaluation_00,2,1,greedy,False,train:089;train:018,train:089;train:018,0
evaluation_00,2,1,edf,False,train:089;train:018,train:089;train:018,0
evaluation_01,0,1,greedy,False,train:090,train:090,0
evaluation_01,0,1,edf,False,train:090,train:090,0
evaluation_01,0,2,greedy,False,train:090,train:090,0
evaluation_01,0,2,edf,False,train:090,train:090,0
evaluation_01,1,1,greedy,False,train:063;train:025,train:063;train:025,0
evaluation_01,1,1,edf,False,train:063;train:025,train:063;train:025,0
evaluation_01,1,2,greedy,False,train:063,train:063,0
evaluation_01,1,2,edf,False,train:063,train:063,0
evaluation_01,2,1,greedy,True,train:063;train:090;train:025,train:063;train:025;train:090,0
evaluation_01,2,1,edf,True,train:063;train:090;train:025,train:090;train:025;train:063,0
evaluation_01,2,2,greedy,False,train:063;train:090,train:063;train:090,0
evaluation_01,2,2,edf,True,train:063;train:090,train:090;train:063,0
evaluation_02,0,2,greedy,False,train:105;train:032,train:105;train:032,0
evaluation_02,0,2,edf,False,train:105;train:032,train:105;train:032,0
evaluation_02,0,1,greedy,False,train:105;train:032,train:105;train:032,0
evaluation_02,0,1,edf,False,train:105;train:032,train:105;train:032,0
evaluation_02,1,2,greedy,False,train:105;train:032,train:105;train:032,0
evaluation_02,1,2,edf,False,train:105;train:032,train:105;train:032,0
evaluation_02,1,1,greedy,False,train:105;train:032,train:105;train:032,0
evaluation_02,1,1,edf,False,train:105;train:032,train:105;train:032,0
evaluation_02,2,2,greedy,False,train:105;train:032,train:105;train:032,0
evaluation_02,2,2,edf,False,train:105;train:032,train:105;train:032,0
evaluation_02,2,1,greedy,False,train:105;train:032,train:105;train:032,0
evaluation_02,2,1,edf,False,train:105;train:032,train:105;train:032,0
evaluation_03,0,1,greedy,True,train:082;train:113;train:037,train:082;train:037;train:113,0
evaluation_03,0,1,edf,False,train:082;train:113;train:037,train:082;train:113;train:037,0
evaluation_03,0,2,greedy,False,train:082;train:037,train:082;train:037,0
evaluation_03,0,2,edf,True,train:082;train:037,train:082;train:113,-12
evaluation_03,1,1,greedy,True,train:082;train:113;train:037,train:082;train:037;train:113,0
evaluation_03,1,1,edf,False,train:082;train:113;train:037,train:082;train:113;train:037,0
evaluation_03,1,2,greedy,False,train:082;train:037,train:082;train:037,0
evaluation_03,1,2,edf,True,train:082;train:037,train:082;train:113,-12
evaluation_03,2,1,greedy,True,train:082;train:113;train:037,train:082;train:037;train:113,0
evaluation_03,2,1,edf,False,train:082;train:113;train:037,train:082;train:113;train:037,0
evaluation_03,2,2,greedy,False,train:082;train:037,train:082;train:037,0
evaluation_03,2,2,edf,True,train:082;train:037,train:082;train:113,-12
evaluation_04,0,2,greedy,False,train:097;train:039,train:097;train:039,0
evaluation_04,0,2,edf,False,train:097;train:039,train:097;train:039,0
evaluation_04,0,1,greedy,False,train:097;train:039,train:097;train:039,0
evaluation_04,0,1,edf,False,train:097;train:039,train:097;train:039,0
evaluation_04,1,2,greedy,True,train:097;train:123;train:039,train:097;train:039,0
evaluation_04,1,2,edf,False,train:097;train:123;train:039,train:097;train:123;train:039,0
evaluation_04,1,1,greedy,True,train:097;train:123;train:039,train:097;train:039;train:123,0
evaluation_04,1,1,edf,False,train:097;train:123;train:039,train:097;train:123;train:039,0
evaluation_04,2,2,greedy,True,train:097;train:123;train:039,train:097;train:039,0
evaluation_04,2,2,edf,False,train:097;train:123;train:039,train:097;train:123;train:039,0
evaluation_04,2,1,greedy,True,train:097;train:123;train:039,train:097;train:039;train:123,0
evaluation_04,2,1,edf,False,train:097;train:123;train:039,train:097;train:123;train:039,0
evaluation_05,0,1,greedy,False,train:041;train:125,train:041;train:125,0
evaluation_05,0,1,edf,False,train:041;train:125,train:041;train:125,0
evaluation_05,0,2,greedy,False,train:041,train:041,0
evaluation_05,0,2,edf,False,train:041,train:041,0
evaluation_05,1,1,greedy,False,train:041;train:125,train:041;train:125,0
evaluation_05,1,1,edf,False,train:041;train:125,train:041;train:125,0
evaluation_05,1,2,greedy,False,train:041,train:041,0
evaluation_05,1,2,edf,False,train:041,train:041,0
evaluation_05,2,1,greedy,False,train:125,train:125,0
evaluation_05,2,1,edf,False,train:125,train:125,0
evaluation_05,2,2,greedy,False,train:125,train:125,0
evaluation_05,2,2,edf,False,train:125,train:125,0
evaluation_06,0,2,greedy,True,train:129;train:101,train:101;train:129,0
evaluation_06,0,2,edf,True,train:129;train:101,train:101;train:129,0
evaluation_06,0,1,greedy,True,train:129;train:101;train:045,train:101;train:045;train:129,0
evaluation_06,0,1,edf,True,train:129;train:101;train:045,train:101;train:045;train:129,0
evaluation_06,1,2,greedy,True,train:129;train:101,train:101;train:129,0
evaluation_06,1,2,edf,True,train:129;train:101,train:101;train:129,0
evaluation_06,1,1,greedy,True,train:129;train:101;train:045,train:101;train:045;train:129,0
