bundle_id,replicate,variant,review_duration,comparator,sequences_differ,search_sequence,other_sequence
stage6_00,0,reference,2,greedy,False,train:313;train:153,train:313;train:153
stage6_00,0,reference,2,edf,False,train:313;train:153,train:313;train:153
stage6_00,0,reference,1,greedy,False,train:313;train:153,train:313;train:153
stage6_00,0,reference,1,edf,False,train:313;train:153,train:313;train:153
stage6_00,0,approve_block,2,greedy,False,train:313;train:153,train:313;train:153
stage6_00,0,approve_block,2,edf,False,train:313;train:153,train:313;train:153
stage6_00,0,approve_block,1,greedy,False,train:313;train:153,train:313;train:153
stage6_00,0,approve_block,1,edf,False,train:313;train:153,train:313;train:153
stage6_00,0,complexity_time,2,greedy,False,train:313;train:153,train:313;train:153
stage6_00,0,complexity_time,2,edf,False,train:313;train:153,train:313;train:153
stage6_00,0,complexity_time,1,greedy,False,train:313;train:153,train:313;train:153
stage6_00,0,complexity_time,1,edf,False,train:313;train:153,train:313;train:153
stage6_00,1,reference,2,greedy,True,train:313;train:421;train:153,train:421;train:153
stage6_00,1,reference,2,edf,False,train:313;train:421;train:153,train:313;train:421;train:153
stage6_00,1,reference,1,greedy,True,train:313;train:421;train:153,train:421;train:153
stage6_00,1,reference,1,edf,False,train:313;train:421;train:153,train:313;train:421;train:153
stage6_00,1,approve_block,2,greedy,True,train:313;train:421;train:153,train:421;train:153
stage6_00,1,approve_block,2,edf,False,train:313;train:421;train:153,train:313;train:421;train:153
stage6_00,1,approve_block,1,greedy,True,train:313;train:421;train:153,train:421;train:153
stage6_00,1,approve_block,1,edf,False,train:313;train:421;train:153,train:313;train:421;train:153
stage6_00,1,complexity_time,2,greedy,True,train:313;train:421;train:153,train:421;train:153
stage6_00,1,complexity_time,2,edf,False,train:313;train:421;train:153,train:313;train:421;train:153
stage6_00,1,complexity_time,1,greedy,True,train:313;train:421;train:153,train:421;train:153
stage6_00,1,complexity_time,1,edf,False,train:313;train:421;train:153,train:313;train:421;train:153
stage6_00,2,reference,2,greedy,True,train:313;train:421,train:421
stage6_00,2,reference,2,edf,False,train:313;train:421,train:313;train:421
stage6_00,2,reference,1,greedy,True,train:313;train:421,train:421;train:313
stage6_00,2,reference,1,edf,False,train:313;train:421,train:313;train:421
stage6_00,2,approve_block,2,greedy,True,train:313;train:421,train:421
stage6_00,2,approve_block,2,edf,False,train:313;train:421,train:313;train:421
stage6_00,2,approve_block,1,greedy,True,train:313;train:421,train:421;train:313
stage6_00,2,approve_block,1,edf,False,train:313;train:421,train:313;train:421
stage6_00,2,complexity_time,2,greedy,True,train:313;train:421,train:421
stage6_00,2,complexity_time,2,edf,False,train:313;train:421,train:313;train:421
stage6_00,2,complexity_time,1,greedy,True,train:313;train:421,train:421;train:313
stage6_00,2,complexity_time,1,edf,False,train:313;train:421,train:313;train:421
stage6_01,0,reference,1,greedy,False,train:158;train:436;train:320,train:158;train:436;train:320
stage6_01,0,reference,1,edf,False,train:158;train:436;train:320,train:158;train:436;train:320
