variant,review_duration,policy,metric,bundles,mean_difference,ci_low,ci_high,wins,ties,losses
approve_block,1,no_review,operational_loss,8,0.0,0.0,0.0,0,8,0
approve_block,1,no_review,task_completed,8,0.0,0.0,0.0,0,8,0
approve_block,1,no_review,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,1,no_review,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,1,fcfs,operational_loss,8,2.0,0.6666666666666667,3.3333333333333335,0,3,5
approve_block,1,fcfs,task_completed,8,-0.5,-0.8333333333333335,-0.1666666666666667,0,3,5
approve_block,1,fcfs,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,1,fcfs,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,1,edf,operational_loss,8,2.0,0.6666666666666667,3.3333333333333335,0,3,5
approve_block,1,edf,task_completed,8,-0.5,-0.8333333333333335,-0.1666666666666667,0,3,5
approve_block,1,edf,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,1,edf,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,1,uncertainty,operational_loss,8,2.0,0.6666666666666667,3.3333333333333335,0,3,5
approve_block,1,uncertainty,task_completed,8,-0.5,-0.8333333333333335,-0.1666666666666667,0,3,5
approve_block,1,uncertainty,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,1,uncertainty,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,1,greedy,operational_loss,8,2.0,0.6666666666666667,3.3333333333333335,0,3,5
approve_block,1,greedy,task_completed,8,-0.5,-0.8333333333333335,-0.1666666666666667,0,3,5
approve_block,1,greedy,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,1,greedy,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,1,search,operational_loss,8,2.0,0.6666666666666667,3.3333333333333335,0,3,5
approve_block,1,search,task_completed,8,-0.5,-0.8333333333333335,-0.1666666666666667,0,3,5
approve_block,1,search,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,1,search,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,2,no_review,operational_loss,8,0.0,0.0,0.0,0,8,0
approve_block,2,no_review,task_completed,8,0.0,0.0,0.0,0,8,0
approve_block,2,no_review,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,2,no_review,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,2,fcfs,operational_loss,8,1.5000000000000002,0.33333333333333337,2.833333333333334,0,4,4
approve_block,2,fcfs,task_completed,8,-0.37500000000000006,-0.7083333333333335,-0.08333333333333334,0,4,4
approve_block,2,fcfs,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,2,fcfs,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,2,edf,operational_loss,8,1.5000000000000002,0.33333333333333337,2.833333333333334,0,4,4
approve_block,2,edf,task_completed,8,-0.37500000000000006,-0.7083333333333335,-0.08333333333333334,0,4,4
approve_block,2,edf,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,2,edf,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,2,uncertainty,operational_loss,8,2.0,0.6666666666666667,3.3333333333333335,0,3,5
approve_block,2,uncertainty,task_completed,8,-0.5,-0.8333333333333335,-0.1666666666666667,0,3,5
approve_block,2,uncertainty,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,2,uncertainty,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,2,greedy,operational_loss,8,2.0,0.6666666666666667,3.3333333333333335,0,3,5
approve_block,2,greedy,task_completed,8,-0.5,-0.8333333333333335,-0.1666666666666667,0,3,5
approve_block,2,greedy,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,2,greedy,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
approve_block,2,search,operational_loss,8,1.3333333333333335,0.0,2.666666666666667,0,5,3
approve_block,2,search,task_completed,8,-0.33333333333333337,-0.6666666666666667,0.0,0,5,3
approve_block,2,search,wrong_transactions,8,0.0,0.0,0.0,0,8,0
approve_block,2,search,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
complexity_time,1,no_review,operational_loss,8,0.0,0.0,0.0,0,8,0
complexity_time,1,no_review,task_completed,8,0.0,0.0,0.0,0,8,0
complexity_time,1,no_review,wrong_transactions,8,0.0,0.0,0.0,0,8,0
complexity_time,1,no_review,review_busy_ticks,8,0.0,0.0,0.0,0,8,0
complexity_time,1,fcfs,operational_loss,8,0.0,0.0,0.0,0,8,0
complexity_time,1,fcfs,task_completed,8,0.0,0.0,0.0,0,8,0
complexity_time,1,fcfs,wrong_transactions,8,0.0,0.0,0.0,0,8,0
complexity_time,1,fcfs,review_busy_ticks,8,0.20833333333333334,0.04166666666666666,0.45833333333333337,0,5,3
complexity_time,1,edf,operational_loss,8,0.0,0.0,0.0,0,8,0
complexity_time,1,edf,task_completed,8,0.0,0.0,0.0,0,8,0
complexity_time,1,edf,wrong_transactions,8,0.0,0.0,0.0,0,8,0
complexity_time,1,edf,review_busy_ticks,8,0.24999999999999997,0.041666666666666685,0.5,0,4,4
complexity_time,1,uncertainty,operational_loss,8,0.0,0.0,0.0,0,8,0
complexity_time,1,uncertainty,task_completed,8,0.0,0.0,0.0,0,8,0
complexity_time,1,uncertainty,wrong_transactions,8,0.0,0.0,0.0,0,8,0
complexity_time,1,uncertainty,review_busy_ticks,8,0.25,0.041666666666666685,0.5,0,4,4
complexity_time,1,greedy,operational_loss,8,0.0,0.0,0.0,0,8,0
complexity_time,1,greedy,task_completed,8,0.0,0.0,0.0,0,8,0
complexity_time,1,greedy,wrong_transactions,8,0.0,0.0,0.0,0,8,0
complexity_time,1,greedy,review_busy_ticks,8,0.25,0.041666666666666685,0.5,0,4,4
complexity_time,1,search,operational_loss,8,0.0,0.0,0.0,0,8,0
complexity_time,1,search,task_completed,8,0.0,0.0,0.0,0,8,0
complexity_time,1,search,wrong_transactions,8,0.0,0.0,0.0,0,8,0
complexity_time,1,search,review_busy_ticks,8,0.24999999999999997,0.041666666666666685,0.5,0,4,4
