variant,review_duration,policy,sequences_differ_from_reference,paired_replicates
approve_block,1,no_review,0,24
approve_block,1,fcfs,0,24
approve_block,1,edf,0,24
approve_block,1,uncertainty,0,24
approve_block,1,greedy,0,24
approve_block,1,search,0,24
approve_block,2,no_review,0,24
approve_block,2,fcfs,0,24
approve_block,2,edf,0,24
approve_block,2,uncertainty,0,24
approve_block,2,greedy,0,24
approve_block,2,search,0,24
complexity_time,1,no_review,0,24
complexity_time,1,fcfs,1,24
complexity_time,1,edf,0,24
complexity_time,1,uncertainty,0,24
complexity_time,1,greedy,0,24
complexity_time,1,search,1,24
complexity_time,2,no_review,0,24
complexity_time,2,fcfs,1,24
complexity_time,2,edf,1,24
complexity_time,2,uncertainty,1,24
complexity_time,2,greedy,1,24
complexity_time,2,search,1,24
