bundle_id,variant,review_duration,comparison,metric,difference
evaluation_00,reference,1,search-greedy,operational_loss,0.0
evaluation_01,reference,1,search-greedy,operational_loss,0.0
evaluation_02,reference,1,search-greedy,operational_loss,0.0
evaluation_03,reference,1,search-greedy,operational_loss,0.0
evaluation_04,reference,1,search-greedy,operational_loss,0.0
evaluation_05,reference,1,search-greedy,operational_loss,0.0
evaluation_06,reference,1,search-greedy,operational_loss,0.0
evaluation_07,reference,1,search-greedy,operational_loss,0.0
evaluation_08,reference,1,search-greedy,operational_loss,0.0
evaluation_09,reference,1,search-greedy,operational_loss,0.0
evaluation_10,reference,1,search-greedy,operational_loss,0.0
evaluation_11,reference,1,search-greedy,operational_loss,0.0
evaluation_12,reference,1,search-greedy,operational_loss,0.0
evaluation_13,reference,1,search-greedy,operational_loss,0.0
evaluation_14,reference,1,search-greedy,operational_loss,0.0
evaluation_15,reference,1,search-greedy,operational_loss,0.0
evaluation_16,reference,1,search-greedy,operational_loss,0.0
evaluation_17,reference,1,search-greedy,operational_loss,0.0
evaluation_18,reference,1,search-greedy,operational_loss,0.0
evaluation_19,reference,1,search-greedy,operational_loss,0.0
evaluation_20,reference,1,search-greedy,operational_loss,0.0
evaluation_21,reference,1,search-greedy,operational_loss,0.0
evaluation_22,reference,1,search-greedy,operational_loss,0.0
evaluation_23,reference,1,search-greedy,operational_loss,0.0
evaluation_24,reference,1,search-greedy,operational_loss,0.0
evaluation_25,reference,1,search-greedy,operational_loss,0.0
evaluation_26,reference,1,search-greedy,operational_loss,0.0
evaluation_27,reference,1,search-greedy,operational_loss,0.0
evaluation_28,reference,1,search-greedy,operational_loss,0.0
evaluation_29,reference,1,search-greedy,operational_loss,0.0
evaluation_30,reference,1,search-greedy,operational_loss,0.0
evaluation_31,reference,1,search-greedy,operational_loss,0.0
evaluation_00,reference,1,search-greedy,task_completed,0.0
evaluation_01,reference,1,search-greedy,task_completed,0.0
evaluation_02,reference,1,search-greedy,task_completed,0.0
evaluation_03,reference,1,search-greedy,task_completed,0.0
evaluation_04,reference,1,search-greedy,task_completed,0.0
evaluation_05,reference,1,search-greedy,task_completed,0.0
evaluation_06,reference,1,search-greedy,task_completed,0.0
evaluation_07,reference,1,search-greedy,task_completed,0.0
evaluation_08,reference,1,search-greedy,task_completed,0.0
evaluation_09,reference,1,search-greedy,task_completed,0.0
evaluation_10,reference,1,search-greedy,task_completed,0.0
evaluation_11,reference,1,search-greedy,task_completed,0.0
evaluation_12,reference,1,search-greedy,task_completed,0.0
evaluation_13,reference,1,search-greedy,task_completed,0.0
evaluation_14,reference,1,search-greedy,task_completed,0.0
evaluation_15,reference,1,search-greedy,task_completed,0.0
evaluation_16,reference,1,search-greedy,task_completed,0.0
evaluation_17,reference,1,search-greedy,task_completed,0.0
evaluation_18,reference,1,search-greedy,task_completed,0.0
evaluation_19,reference,1,search-greedy,task_completed,0.0
