reviewer,weights,capacity,duration,comparison,run_id,difference
model,heterogeneous,1,1,search-greedy,run01,0.0
model,heterogeneous,1,1,search-greedy,run02,0.0
model,heterogeneous,1,1,search-greedy,run03,0.0
model,heterogeneous,1,1,search-greedy,run05,0.0
model,heterogeneous,1,1,search-greedy,run06,0.0
model,heterogeneous,1,1,search-greedy,run07,0.0
model,heterogeneous,1,1,search-greedy,run09,0.0
model,heterogeneous,1,1,search-greedy,run10,0.0
model,heterogeneous,1,1,search-greedy,run11,0.0
model,heterogeneous,1,1,search-greedy,run12,0.0
model,heterogeneous,1,1,search-greedy,run13,0.0
model,heterogeneous,1,1,search-greedy,run17,0.0
model,heterogeneous,1,1,search-greedy,run18,0.0
model,heterogeneous,1,1,search-greedy,run20,0.0
model,heterogeneous,1,1,search-greedy,run22,0.0
model,heterogeneous,1,1,search-greedy,run23,0.0
model,heterogeneous,1,1,search-greedy,run24,0.0
model,heterogeneous,1,1,search-greedy,run25,0.0
model,heterogeneous,1,1,search-edf,run01,0.0
model,heterogeneous,1,1,search-edf,run02,0.0
model,heterogeneous,1,1,search-edf,run03,0.0
model,heterogeneous,1,1,search-edf,run05,0.0
model,heterogeneous,1,1,search-edf,run06,0.0
model,heterogeneous,1,1,search-edf,run07,0.0
model,heterogeneous,1,1,search-edf,run09,0.0
model,heterogeneous,1,1,search-edf,run10,0.0
model,heterogeneous,1,1,search-edf,run11,0.0
model,heterogeneous,1,1,search-edf,run12,0.0
model,heterogeneous,1,1,search-edf,run13,0.0
model,heterogeneous,1,1,search-edf,run17,0.0
model,heterogeneous,1,1,search-edf,run18,0.0
model,heterogeneous,1,1,search-edf,run20,0.0
model,heterogeneous,1,1,search-edf,run22,0.0
model,heterogeneous,1,1,search-edf,run23,0.0
model,heterogeneous,1,1,search-edf,run24,0.0
model,heterogeneous,1,1,search-edf,run25,0.0
model,heterogeneous,1,1,search-no_review,run01,0.0
model,heterogeneous,1,1,search-no_review,run02,0.0
model,heterogeneous,1,1,search-no_review,run03,0.0
model,heterogeneous,1,1,search-no_review,run05,0.0
model,heterogeneous,1,1,search-no_review,run06,0.0
model,heterogeneous,1,1,search-no_review,run07,0.0
model,heterogeneous,1,1,search-no_review,run09,0.0
model,heterogeneous,1,1,search-no_review,run10,0.0
model,heterogeneous,1,1,search-no_review,run11,0.0
model,heterogeneous,1,1,search-no_review,run12,0.0
model,heterogeneous,1,1,search-no_review,run13,0.0
model,heterogeneous,1,1,search-no_review,run17,0.0
model,heterogeneous,1,1,search-no_review,run18,0.0
model,heterogeneous,1,1,search-no_review,run20,0.0
model,heterogeneous,1,1,search-no_review,run22,0.0
model,heterogeneous,1,1,search-no_review,run23,0.0
model,heterogeneous,1,1,search-no_review,run24,0.0
model,heterogeneous,1,1,search-no_review,run25,0.0
model,heterogeneous,1,2,search-greedy,run01,0.0
model,heterogeneous,1,2,search-greedy,run02,0.0
model,heterogeneous,1,2,search-greedy,run03,0.0
model,heterogeneous,1,2,search-greedy,run05,0.0
model,heterogeneous,1,2,search-greedy,run06,0.0
model,heterogeneous,1,2,search-greedy,run07,0.0
model,heterogeneous,1,2,search-greedy,run09,0.0
model,heterogeneous,1,2,search-greedy,run10,0.0
model,heterogeneous,1,2,search-greedy,run11,0.0
model,heterogeneous,1,2,search-greedy,run12,0.0
model,heterogeneous,1,2,search-greedy,run13,0.0
model,heterogeneous,1,2,search-greedy,run17,0.0
model,heterogeneous,1,2,search-greedy,run18,0.0
model,heterogeneous,1,2,search-greedy,run20,0.0
model,heterogeneous,1,2,search-greedy,run22,0.0
model,heterogeneous,1,2,search-greedy,run23,0.0
model,heterogeneous,1,2,search-greedy,run24,0.0
model,heterogeneous,1,2,search-greedy,run25,0.0
model,heterogeneous,1,2,search-edf,run01,0.0
model,heterogeneous,1,2,search-edf,run02,0.0
model,heterogeneous,1,2,search-edf,run03,0.0
model,heterogeneous,1,2,search-edf,run05,0.0
model,heterogeneous,1,2,search-edf,run06,0.0
model,heterogeneous,1,2,search-edf,run07,0.0
model,heterogeneous,1,2,search-edf,run09,0.0
model,heterogeneous,1,2,search-edf,run10,0.0
model,heterogeneous,1,2,search-edf,run11,0.0
model,heterogeneous,1,2,search-edf,run12,0.0
model,heterogeneous,1,2,search-edf,run13,0.0
model,heterogeneous,1,2,search-edf,run17,0.0
model,heterogeneous,1,2,search-edf,run18,0.0
model,heterogeneous,1,2,search-edf,run20,0.0
model,heterogeneous,1,2,search-edf,run22,0.0
