reviewer,weights,capacity,duration,comparison,mean_difference,ci_low,ci_high,wins,ties,losses,different_sequences
model,heterogeneous,1,1,search-greedy,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,1,1,search-edf,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,1,1,search-no_review,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,1,2,search-greedy,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,1,2,search-edf,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,1,2,search-no_review,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,1,3,search-greedy,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,1,3,search-edf,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,1,3,search-no_review,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,1,search-greedy,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,1,search-edf,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,1,search-no_review,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,2,search-greedy,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,2,search-edf,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,2,search-no_review,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,3,search-greedy,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,3,search-edf,0.0,0.0,0.0,0,18,0,0
model,heterogeneous,2,3,search-no_review,0.0,0.0,0.0,0,18,0,0
model,uniform,1,1,search-greedy,0.0,0.0,0.0,0,18,0,0
model,uniform,1,1,search-edf,0.0,0.0,0.0,0,18,0,0
model,uniform,1,1,search-no_review,0.0,0.0,0.0,0,18,0,0
model,uniform,1,2,search-greedy,0.0,0.0,0.0,0,18,0,0
model,uniform,1,2,search-edf,0.0,0.0,0.0,0,18,0,0
model,uniform,1,2,search-no_review,0.0,0.0,0.0,0,18,0,0
model,uniform,1,3,search-greedy,0.0,0.0,0.0,0,18,0,0
model,uniform,1,3,search-edf,0.0,0.0,0.0,0,18,0,0
model,uniform,1,3,search-no_review,0.0,0.0,0.0,0,18,0,0
model,uniform,2,1,search-greedy,0.0,0.0,0.0,0,18,0,0
model,uniform,2,1,search-edf,0.0,0.0,0.0,0,18,0,0
model,uniform,2,1,search-no_review,0.0,0.0,0.0,0,18,0,0
model,uniform,2,2,search-greedy,0.0,0.0,0.0,0,18,0,0
model,uniform,2,2,search-edf,0.0,0.0,0.0,0,18,0,0
model,uniform,2,2,search-no_review,0.0,0.0,0.0,0,18,0,0
model,uniform,2,3,search-greedy,0.0,0.0,0.0,0,18,0,0
model,uniform,2,3,search-edf,0.0,0.0,0.0,0,18,0,0
model,uniform,2,3,search-no_review,0.0,0.0,0.0,0,18,0,0
model_risk,heterogeneous,1,1,search-greedy,0.0,0.0,0.0,0,18,0,16
model_risk,heterogeneous,1,1,search-edf,0.0,0.0,0.0,0,18,0,15
model_risk,heterogeneous,1,1,search-no_review,2.6666666666666665,0.21666666666666698,5.777777777777778,1,12,5,18
model_risk,heterogeneous,1,2,search-greedy,0.0,0.0,0.0,0,18,0,15
