reviewer,weights,capacity,duration,policy,n_runs,mean_loss,ci_low,ci_high,correct_rate,correct_low,correct_high,correct,corrections,harmful_reviews,unresolved,completed_reviews,review_time,waiting_time,missed_useful
model,heterogeneous,1,1,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,1,fcfs,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,1,edf,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,1,uncertainty,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,1,greedy,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,1,search,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,2,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,2,fcfs,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,2,edf,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,2,uncertainty,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,2,greedy,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,2,search,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,3,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,3,fcfs,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,3,edf,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,3,uncertainty,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,3,greedy,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,1,3,search,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,2,1,no_review,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,2,1,fcfs,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
model,heterogeneous,2,1,edf,18,15.333333333333334,10.0,20.0,0.35185185185185186,0.14814814814814817,0.5740740740740741,19,0,0,35,0,0,0,1
